Company,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,Unnamed: 21
Datagen,68500000000000.0,"Anthony Goldbloom,Brian Granger,Dragomir Anguelov,Eitan Pilipski,Fernando De la Torre,Gal Chechik,Lihi Zelnik-Manor,Manuel Bronstein,Michael Black,Operator Partners,Raghu Hiremagalur,Scale Venture Partners,Spider Capital,TLV Partners,Trevor Darrell,Vantage Equities,Vintage Investment Partners,Viola Growth,Viola Ventures,Yossi Matias",122.0,www.datagen.tech,"* Simulate the [exact / high-variance / large-scale] data your AI needs
- Get high-performance data that is key to production-ready algorithms",Training Data,,AI Development & Tools,Image,Data Management,General,Yes,,,,,,,,,
DataGen Technologies,72000000.0,"Viola Ventures, Operator Partners, TLV Partners, Spider Capital, Scale Venture Partners",,https://datagen.tech/," DataGen Technologies
 DataGen Technologies provides AI-powered synthetic data for computer vision applications, helping companies improve their machine learning models.",Data,Synthetic data generation,AI Development & Tools,,,,,2018.0,Israel,,,,,,,
DataHawk,8374667.0,"FrenchFounders, Hi Inov - Dentressangle, Axeleo Capital, Spring Invest, Bleu Capital",,https://datahawk.co/," DataHawk is an Amazon analytics and optimization software that provides tools for keyword research, SEO, product research, and market intelligence.",Data,Commerce analytics platform,Applications (Vertical),,,,,2017.0,Europe,,,,,,,
DataStax,342571788.0,"Sequoia Capital, Lightspeed Venture Partners, EDBI, Jason Calacanis, Rackspace",,https://www.datastax.com/," DataStax provides a data platform that enables enterprises to build, deploy, and scale applications in cloud, on-premises, or hybrid environments.",Data,Data stack for building real-time AI apps,Infrastructure,,,,,2010.0,SF Bay Area,,,,,,,
Debuild,,"FundersClub, Offline Ventures, Founders, Inc.",2.0,https://debuild.app/,"* Code your web app in seconds.
- The AI-powered low-code tool that helps you build web apps blazingly fast.",Code,Web App Builder,Applications (Horizontal),Code,Application Building,General,No,2018.0,SF Bay Area,,,,,,,
DeckRobot,5850000.0,"Charlie Songhurst, Flyer One Ventures, Alex Turbanov, Pragmatech Ventures, Victor Savyuk",,https://www.deckrobot.com/," DeckRobot uses AI to automate PowerPoint presentation design, making it efficient and consistent with brand guidelines.",Image,Slide deck design,Applications (Horizontal),,,,,2017.0,SF Bay Area,,,,,,,
Deep Design Systems,,,,https://www.deepdesignsystems.com/,"Deep Design Systems provides AI-based solutions for hardware design automation, accelerating the design process of electronic systems and chips.",Data,Synthetic Industrial Design,AI Development & Tools,,,,,2022.0,Europe,,,,,,,Vector Database
Deep Dream Generator,,,,https://deepdreamgenerator.com/, Deep Dream Generator offers AI-based tools for transforming images into dream-like art pieces using deep learning algorithms.,Image,Image generation,AI Development & Tools,,,,,2015.0,SF Bay Area,,,,,,,
Deep Mind Gopher,,,,https://gpt3demo.com/apps/deepmind-gopher," Deep Mind Gopher uses AI to generate human-like text based on the input it's given, useful for tasks like drafting emails or writing articles.",Text,Text generation,Applications (Vertical),,,,,2023.0,Unknown,,,,,,,
DeepBrain AI,52000000.0,"KB Investment, Korea Development Bank, IMM Investment, KDB Capital, L&S Venture Capital",,https://www.deepbrain.io/," DeepBrain AI provides AI-based solutions focused on human-like digital avatars and autonomous content production for industries like entertainment, gaming, and education.",Avatars,Virtual Humans and Avatars,Applications (Vertical),,,,,2016.0,SF Bay Area,,,,,,,
DeepDub,20000000000000.0,"Booster Ventures,Daniel Chadash,Danny Grander,Emiliano Calemzuk,Gideon Marks,Insight Partners,Kevin Reilly,Roi Tiger,Stardom Ventures,Swift Ventures",46.0,www.deepdub.ai,"* Global Entertainment Experience, Reimagined. 
- Deepdub aims to bridge the language barrier and cultural gap of entertainment experiences through high-quality localization at scale.",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,Media & Entertainment,Yes,,,,,,,,,
Deepdub,20000000.0,"Insight Partners, Swift Ventures, Danny Grander, Matias Ventures, Stardom Ventures",,https://deepdub.ai/," Deepdub provides AI-based voice localization and dubbing solutions, enabling seamless cross-language entertainment experiences.",Video,Content localization / dubbing,Applications (Vertical),,,,,2019.0,Israel,,,,,,,
DeepFiction AI,,,,https://www.deepfiction.ai/," DeepFiction AI creates AI-generated videos using deepfake technology for entertainment, marketing, and advertising purposes.",Text,"Original unfiltered AI generated stories, images, and characters",Applications (Vertical),,,,,2022.0,Other US,,,,,,,
DeepGenX,0.0,No Data,,https://www.deepgenx.com/,"* Level up your Coding with CodeGenX
- We are thrilled to announce CodeGenX! A Code Generation system powered bya rtificial intelligence!","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Deepgram,85920000.0,"NVIDIA, Bossanova Investimentos, Y Combinator, Tiger Global Management, BlackRock",,https://deepgram.com/," Deepgram offers custom-trained speech recognition AI, helping businesses transcribe, search, and analyse voice data for insights.",Audio,Speech to Text,Applications (Horizontal),,,,,2015.0,SF Bay Area,,,,,,,
Deepset,15600000.0,"Google Ventures, Acequia Capital (AceCap), Charlie Songhurst, Lunar Ventures, Mustafa Suleyman",29.0,https://www.deepset.ai/,"* Build Natural Language Interfaces for Your Data
- NLP is at the core of modern enterprise data processing. We provide developers with the right tools to build production-ready NLP systems quickly and efficiently.",MLOps/Platform,NLP,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,2018.0,Europe,,,,,,,
DeepWord,20000.0,Elevate Ventures,,https://www.deepword.co/," DeepWord
 DeepWord specializes in voice cloning technology, enabling users to create high-quality synthetic voices from a small voice sample.",Video,Personalized videos,Applications (Vertical),,,,,2020.0,Other US,,,,,,,
Delv AI,550000.0,,,https://www.delv.ai/," Delv AI
 Delv AI provides an AI-driven platform for creating personalized customer experiences, helping businesses to understand and engage their customers better.",Semantic Search,Hyper-local search and extractive summaries,Applications (Horizontal),,,,,2021.0,"Miami, FL",,,,,,,
Demandwell,5000000.0,High Alpha,,https://www.demandwell.com/, Demandwell is a SaaS platform that uses AI to help marketers increase organic search traffic and convert that traffic into revenue.,Text,Content/marketing,Applications (Vertical),,,,,2018.0,Other US,,,,,,,
Depix,2453916.0,"Anges Quebec, AQC Capital",,https://www.depix.ai/," Depix
 Depix uses AI to reconstruct pixelated or blurred images into high-resolution, clear images, enhancing visual data quality.",Image,"Background removal, Photo enhancement",Applications (Vertical),,,,,2019.0,North America (excl. US),,,,,,,
Descript,100000000.0,"OpenAI, Andreessen Horowitz, Naval Ravikant, Daniel Gross, Redpoint",109.0,https://www.descript.com/,"* All-in-one audio & video editing, as easy as a doc.",Audio,Voice generation,Applications (Horizontal),Video,Video Editing,General,Yes,2017.0,SF Bay Area,,,,,,,
Detail,7000000.0,"TQ Ventures, Hustle Fund, Connect Ventures, Joe Thomas, Point Nine",,https://detail.co/," Detail uses AI to generate written content, helping businesses to automate their content creation process and save time.",Video,"Record, remix, and share videos",Applications (Vertical),,,,,2020.0,Europe,,,,,,,
DhiWise,9500000.0,"Accel, India Quotient, Dholakia Ventures, Together Fund",58.0,https://www.dhiwise.com/,"* A programming platform where developers can convert their designs into developer-friendly code for Mobile and web apps
- Automates the application development lifecycle and instantly generates readable, modular and reusable code.",Code,Design to Code conversion,Applications (Horizontal),Image,Code generation & Documentation,General,Yes,2021.0,APAC,,,,,,,
Diagram,4100000.0,"Lachy Groom, Basis Set Ventures, Ludlow Ventures, Weekend Fund, base case capital",,https://diagram.com/," Diagram
 Diagram is a platform that uses AI to create, edit, and share diagrams, flowcharts, and process maps for businesses and educational purposes.",Image,Product Design,Applications (Horizontal),,,,,2022.0,"New York, NY",,,,,,,
Dialpad,450000000.0,"SoftBank, Andreessen Horowitz, Google Ventures, Section 32, G Squared",,https://www.dialpad.com/," Dialpad provides an AI-driven cloud communication platform for businesses, offering voice, video, messages and meetings across devices.",Audio,Team/Customer Communications,Applications (Horizontal),,,,,2011.0,SF Bay Area,,,,,,,
D-ID,47881868.0,"OurCrowd, Y Combinator, Hyundai Motor Company, Pitango VC, Macquarie Capital",,https://www.d-id.com/,"D-ID specializes in AI-based identity protection, creating anonymized photos and videos to protect identities from unauthorized AI usage.",Avatars,Customized videos featuring talking avatars,Applications (Vertical),,,,,2017.0,Israel,,,,,,,
Digital Recipe Inc.,300000.0,,,https://www.dxr.co.jp/," Digital Recipe Inc.
 A Japanese digital marketing company specializing in AI-driven marketing, digital advertising, data analysis, and creative content generation.",Text,"AI Writing Assistant called ""Catchy""",Applications (Vertical),,,,,2018.0,APAC,,,,,,,
DigitalFirst,1065000.0,"Flat6Labs, Polish Agency for Enterprise Development, INNOventure, Michał Tokarski, Grzegorz Gracz",,https://www.digitalfirst.ai/, DigitalFirst provides an AI platform that automates and personalizes customer engagement across various digital channels for improved customer experience.,Text,Marketing / content generation,Applications (Horizontal),,,,,2021.0,Europe,,,,,,,
Dob Studio,4256732.0,"Dexter Studios, Timewise Investment, Nau IB Capital, TINVESTMENT",,https://www.dob.world/," Dob Studio
Short Description: Dob Studio provides AI-powered tools for creating, editing, and sharing videos with a focus on intuitive design and user-friendly interfaces.",Video,Virtual humans,AI Development & Tools,,,,,2020.0,APAC,,,,,,,
DrawAnyone,,,,https://drawanyone.com/," DrawAnyone is an AI-powered tool that turns simple sketches into realistic portraits, enabling users to create custom images without needing advanced drawing skills.",Image,Image Generation,Applications (Vertical),,,,,2023.0,Unknown,,,,,,,
DreamFusion,,,,https://dreamfusion3d.github.io/," DreamFusion
Short Description: DreamFusion is a generative AI company that focuses on creating 3D models and animations with AI, simplifying the process for designers and developers.",Image,3D image generation,Applications (Vertical),,,,,2023.0,Unknown,,,,,,,
DubDub,1300000000000.0,"Accel Atoms,Aprameya Radhakrishna,Deepak Anchala,Force Ventures (India),Forward Slash Capital,Gaurav Kapur,Jaipur Capital,Nishant Mungali,Roshan Abbas,Swati Mohan,Waveform Ventures",,www.dubdub.ai,"* Redefining dubbing: As good as original
- Authentic and Efficient Dubbing solutions in 40+ languages",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Dubverse,800000.0,Kalaari Capital,,https://dubverse.ai/," Dubverse offers AI-powered tools for voice dubbing, enabling content creators to translate and dub content in multiple languages efficiently.",Audio,Video dubbing,Applications (Vertical),,,,,2021.0,APAC,,,,,,,
DupDub,252763410.0,"Google, Sequoia Capital China, Volkswagen Group, ZhenFund, SIG China (SIG Asia Investments)",,https://www.dupdub.com/," DupDub provides an AI-based platform for creating personalized, emotion-rich voiceovers and dubbing for videos, enhancing content accessibility and engagement.",Audio,Voiceovers,Applications (Vertical),,,,,2012.0,APAC,,,,,,,
Durable,12500000.0,"Soma Capital, Lorimer Ventures, South Park Commons, Altman Capital, Torch Capital",9.0,https://durable.co/,"* Launch your business in 30 seconds with AI.
- Instantly build a website and find your first customer in minutes.
- It's the fastest way to launch a business ever.",Code,Web App Builder,Applications (Vertical),Code,Application Building,Marketing,Yes,2021.0,SF Bay Area,,,,,,,
Dust.tt,0.0,No Data,,www.dust.tt,* Empower  tinkerers  to leverage  generative models  for the use-cases they care about.,"MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Dynamo,4150000.0,,,https://www.dynamo.fyi/,"Dynamo: AI-powered platform that generates unique, personalised narratives to enhance user engagement and content relevance.",Text,Social media content OS,Applications (Horizontal),,,,,2018.0,Israel,,,,,,,
Ecomtent,,Mark Evans,,https://www.ecomtent.ai/," Ecomtent uses AI to generate unique, SEO-friendly product descriptions, enhancing e-commerce content and improving search engine rankings.",Image,Product Images for E-commerce,Applications (Vertical),,,,,2022.0,North America (excl. US),,,,,,,
Ecrett,2000000.0,"Ceres (Japan), Deepcore, iSG Investment Works, Mint (Tokyo), SMBC Venture Capital",,https://ecrettmusic.com/," Ecrett
 Ecrett provides an AI-powered platform that generates unique and customizable music compositions for videos, games, and other digital content.",Audio,Music generation,Applications (Vertical),,,,,2020.0,APAC,,,,,,,
Edgi Learning,685000.0,,,https://www.edgilearning.com/," Edgi Learning offers AI-based personalized learning experiences, focusing on improving student engagement and outcomes in education.",Chatbot/Conversational AI,Homework assistant / chatbot,Applications (Vertical),,,,,2021.0,"New York, NY",,,,,,,
Elai,60000.0,"Startup Wise Guys, Google for Startups, SID Venture Partners, Startup Lisboa - Rocket Program",,https://elai.io/," Elai
 Elai uses AI to generate unique, high-quality text for various applications such as content creation, advertising, and more.",Video,Text to Video,Applications (Horizontal),,,,,2021.0,Other US,,,,,,,
Elai.io,100000000000.0,"SID Venture Partners,Startup Wise Guys",12.0,www.elai.io,"* AI Dubbing with Elai.io
- Translate your existing videos into multiple languages",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Electric noir studios,,,,https://www.electricnoirstudios.com/," Electric Noir Studios develops interactive, AI-powered crime dramas for mobile platforms, providing immersive storytelling experiences for users.",Game,Interactive drama mobile games,Applications (Vertical),,,,,2017.0,"London, UK",,,,,,,
Eleven Labs,20500000.0,"Daniel Gross, Nat Friedman, Concept Ventures, Credo Ventures",,https://www.elevenlabs.io/,"* New Frontier in Automatic Dubbing
- Eleven Labs is creating tools to automatically dub your videos and podcasts into other languages, while preserving the distinctive features of the speaker’s voice at a fraction of the cost and time of traditional solutions.",Audio,Long format speech generation,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,2022.0,"New York, NY",,,,,,,
Elicit,,,,https://elicit.org/," Elicit
 Elicit uses AI to provide personalized coaching and help users improve their communication and leadership skills.",Summarization,Data search / summarization,Applications (Vertical),,,,,2022.0,SF Bay Area,,,,,,,
EliseAI,31928985.0,"Navitas Capital, AvalonBay, Golden Seeds, Ground Up Ventures, DivcoWest",,https://www.eliseai.com/,"EliseAI is an AI-powered platform that automates and optimizes digital advertising campaigns, improving marketing efficiency and ROI.",Chatbot/Conversational AI,Automated Virtual Agents,Applications (Vertical),,,,,2017.0,"New York, NY",,,,,,,
Elomia,265000.0,,,https://elomia.com/," Elomia
 Elomia is an AI-powered chatbot designed to provide emotional support and mental health assistance to users round the clock.",Chatbot/Conversational AI,Mental Health / Chatbot,Applications (Vertical),,,,,2021.0,Europe,,,,,,,
Eluether GPT-NEO,100000000.0,,,https://www.eleuther.ai/, Eleuther AI develops large language models like GPT-Neo and offers them for free to facilitate research in natural language processing and machine learning.,Text,Text Generation,AI Development & Tools,,,,,2019.0,Unknown,,,,,,,
EmbodyMe,4056294.0,"Techstars, SMBC Venture Capital, Incubate Fund, Deepcore, Japan Finance",11.0,https://embodyme.com/,"* Making the unimaginable, imaginable with AI",Video,Face swaps,Applications (Horizontal),Video,Avatars,General,Yes,2016.0,APAC,,,,,,,
Endel,21221791.0,"Techstars, True Ventures, Kima Ventures, Techstars Ventures, Waverley Capital",,https://endel.io/," Endel
 Endel creates personalized sound environments to enhance focus, relaxation, and sleep, using AI technology.",Audio,Personalized soundscapes,Applications (Vertical),,,,,2018.0,Europe,,,,,,,
Enterpret,4300000000000.0,"Badrul Farooqi,Cristina Cordova,Curtis Liu,iSeed (India),Kleiner Perkins,Melisa Tokmak,Paige Costello,Sequoia Capital India,Unusual Ventures,Vinay Hiremath",25.0,www.enterpret.com,"* Customer Feedback Intelligence for Product Teams
- All customer feedback categorized automatically combined with advanced analytics capabilities. Ensure no customer pain goes unnoticed.",Voice of the Customer Analysis,,Applications (Horizontal),Code,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Enzyme,120000.0,Techstars,,https://enzyme.so/," Enzyme
 Enzyme offers an AI-powered tool that makes it easy to build, train, and deploy machine learning models without writing code.",Code,Web App Builders,AI Development & Tools,,,,,2020.0,"New York, NY",,,,,,,
EvenUp,12900000.0,"NFX, Bessemer Venture Partners, DCM Ventures, Dash Fund, NFX",,https://www.evenuplaw.com/," EvenUp
 EvenUp offers legal services, using AI to match clients with appropriate legal representation for their specific case or dispute.",Legal,Legal case generation,Applications (Vertical),,,,,2019.0,SF Bay Area,,,,,,,
excelformulabot,,,,https://excelformulabot.com/," Excelformulabot is an AI platform that assists users in creating and understanding Excel formulas, making spreadsheet tasks easier and more efficient.",Code,Excel Querying,Applications (Horizontal),,,,,2022.0,"Miami, FL",,,,,,,
Explosion,6000000000000.0,SignalFire,35.0,www.explosion.ai,"* Explosion builds developer tools for:
- Artificial Intelligence
- Machine Learning
- Natural Language Processing
- Data Annotation","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Fabius,500000.0,Y Combinator,,https://www.fabius.io/," Fabius uses AI to generate customised music and soundtracks, tailored to the user's specific needs and preferences. Ideal for creators, developers and businesses.",Audio,Data Analysis,Applications (Vertical),,,,,2020.0,SF Bay Area,,,,,,,
Facet,15500000.0,"Edward Lando, Gaingels, Bossanova Investimentos, Accel, South Park Commons",14.0,http://facet.ai,"* The image editing workflow, reimagined
- Discover pro grade tools powered by AI. Multiply visual directions, automate masking and selection, and collaborate with your team—all on the web. Welcome to the future of photorealism.",Image,AI-powered image editor,Applications (Horizontal),Image,Image Editing,General,Yes,2017.0,SF Bay Area,,,,,,,
Featureform,2000000.0,"Zetta Venture Partners, Berkeley SkyDeck Fund",,https://www.featureform.com/," Featureform
 Featureform helps data teams to make faster, more accurate predictions by automating the feature engineering process.",MLOps/Platform,Model development,AI Development & Tools,,,,,2019.0,SF Bay Area,,,,,,,
Felvin,350000.0,"Larry Braitman, Sarthak Goel",,https://felvin.com/," Felvin is an AI company that creates intelligent search assistants, helping users get precise search results directly from their input without needing to browse multiple pages.",Code,No code builder for generative AI applications,Applications (Horizontal),,,,,2021.0,"New York, NY",,,,,,,
Fermat,,MK Venture Capital,,https://fermat.ws/,"* Your work, augmented
- Boost your creative side with intelligent tools on a spatial canvas.",Image,Image / Text / Content generation,Applications (Vertical),Image,Image Generation,Product Design,Yes,2018.0,Europe,,,,,,,
Fiddler AI,45200000.0,"Bossanova Investimentos, Insight Partners, Lightspeed Venture Partners, Lockheed Martin Ventures, Haystack",,https://www.fiddler.ai/," Fiddler AI provides explainable AI solutions, enabling businesses to build transparent, reliable, and privacy-focused AI and machine learning models.",MLOps/Platform,"AI Observability, Explainability for MLOps and Generative AI",AI Development & Tools,,,,,2018.0,SF Bay Area,,,,,,,
Flawless,,,27.0,https://www.flawlessai.com/,"* Neural network enabled filmmaking
- Using artificial intelligence, our world-first system will revolutionise the VFX and motion picture industry by unlocking content through authentic, visual translation to enable stories to be told exactly as they were intended with an immersive experience in the native language of any audience around the world",Video,Lip Synced Visualizations,Applications (Horizontal),Audio,Audio Editing & Dubbing,Media & Entertainment,Yes,2020.0,"London, UK",,,,,,,
Flewently,,,,https://www.flewently.com,"Flewently offers personalized language learning sessions with local tutors, in-person or online, tailored to individual goals and schedules.",Chatbot/Conversational AI,Language learning,Applications (Vertical),,,,,2022.0,"London, UK",,,,,,,
Fliki,,,,https://fliki.ai/," Fliki
 Fliki is a generative AI company that creates unique and personalized animated videos for marketing and storytelling purposes using artificial intelligence.",Video,Text to Video,Applications (Vertical),,,,,2021.0,Other US,,,,,,,
Flowful,,,,https://www.flowful.app/," Flowful is an AI-powered tool that helps users create professional-looking videos quickly and easily, automating the editing process.",Audio,Ambient Music generation,Applications (Vertical),,,,,2021.0,"London, UK",,,,,,,
Flowrite,5060000.0,"Lifeline Ventures, Moonfire Ventures, Ilkka Paananen, David Helgason, Seedcamp",18.0,https://www.flowrite.com/,* Supercharge your daily communication. Flowrite turns short instructions into ready-to-send emails and messages across your browser.,Text,Email generation,Applications (Horizontal),Text,General Writing & Editing,General,Yes,2020.0,Europe,,,,,,,
Fluento,,,,https://www.fluento.ai/," Fluento
 Fluento offers an AI-based platform that provides real-time, multilingual translation services for businesses to facilitate global communication.",Text,Learning Languages,Applications (Horizontal),,,,,2022.0,"London, UK",,,,,,,
ForceField IO,400000.0,"Lightspeed Venture Partners, Debra Messing, Christian Lyles, Evan Tripodi, Sophonia Hardaway",,https://www.theforcefield.io/, ForceField IO is a company that provides predictive maintenance solutions for industrial equipment using AI and machine learning technologies.,Data,"End-to-end platform leverage blockchain and audit digital evidence for the highest levels of timeliness, provability, and court admissibility",Applications (Vertical),,,,,2021.0,Other US,,,,,,,
Forefront,0.0,No Data,,www.forefront.ai,"* Powerful NLP tools a click away
- Join leading teams building the next wave of world-changing applications.
- Use pre-built solutions or large language models to quickly build NLP-enabled products and workflows.","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Forethought,92000000.0,"8VC, Village Global, Collaborative Fund, New Enterprise Associates, South Park Commons",,https://forethought.ai/," Forethought
 Forethought uses AI to provide customer support solutions, helping businesses automate and streamline their customer service processes.",Chatbot/Conversational AI,Customer Support,Applications (Horizontal),,,,,2017.0,SF Bay Area,,,,,,,
Foster,0.0,Y Combinator,10.0,www.foster.to,"* Make Your Writing Shine 💫
- Tap a button inside Google Docs and watch your writing transform.",General Purpose Communication Writing,,Applications (Horizontal),Text,General Writing & Editing,General,Yes,,,,,,,,,
Frase,947000.0,"Underscore VC, Bantam Group, Pedro Tortosa",,https://www.frase.io/," Frase
 Frase offers an AI-powered tool that helps in creating SEO-focused content, providing answers to user questions, and improving website traffic.",Text,Content creation (SEO),Applications (Vertical),,,,,2016.0,Other US,,,,,,,
Fridayy,0.0,,,www.fridayy.me,"* The fastest way to buy anything online.
- Shop with a text message.",Other Consumer,,Applications (Vertical),Text,Search,E-Commerce,Yes,,,,,,,,,
Fy!,10977391.0,"500 Global, Seedrs, Hoxton Ventures, Forward Partners, Redbus Ventures",,https://www.iamfy.co/," Fy!
 An online, AI-driven marketplace for discovering and buying unique accessories, jewellery, and prints from emerging designers worldwide.",Image,Transforming everyones' homes with generative AI,Applications (Vertical),,,,,2014.0,"London, UK",,,,,,,
Galactica/Amazon,,,,https://galactica.org/,"I'm sorry, but the URL provided doesn't lead to a valid website related to a company named Galactica/Amazon. Please provide a valid URL for accurate business analysis.",Text,Formula to Text,"I'm sorry, but without a company description, I'm unable to categorise the company. Please provide a description of the company's services or products.",,,,,2023.0,Unknown,,,,,,,
Galileo,23100000.0,"Battery Ventures, FPV Ventures, Walden Catalyst, Lip-Bu Tan, Anthony Goldbloom",,https://www.rungalileo.io/," Galileo
 Galileo offers a powerful AI platform for data science, machine learning, and predictive analytics to optimize business operations and decision-making.",MLOps/Platform,Model development,AI Development & Tools,,,,,2021.0,SF Bay Area,,,,,,,
GAN,5250000.0,"Emergent Ventures, Surge",,https://gan.ai/, GAN is a company that specializes in generating synthetic data using Generative Adversarial Networks. They help businesses improve their AI models with diverse and scalable data.,Video,Personalized videos,AI Development & Tools,,,,,2021.0,Other US,,,,,,,
Gantry,28300000.0,Dwight Crow,,https://gantry.io/," Gantry
 Gantry provides AI-driven 3D design automation tools for creating and modifying digital models, streamlining the design process for engineers and designers.",MLOps/Platform,Model development,AI Development & Tools,,,,,2021.0,SF Bay Area,,,,,,,
Gemsouls,4000000000000.0,Qiming Venture Partners,,www.mygemsouls.com,"* 👋Meet, befriend, and create virtual characters
- On a mission to bring gem-like virtual humans to life ",Chatbots & Avatars,,Applications (Horizontal),Video,Avatars,General,Yes,,,,,,,,,
GenieLabs,,,,https://www.genielabs.tech/," GenieLabs uses AI to generate high-quality, unique content for businesses, enhancing their digital marketing and SEO efforts.",Video,3D Models/Scenes,Applications (Vertical),,,,,2022.0,Israel,,,,,,,
Geniverse,,,,https://geniverse.co/,"* Type your dream
- Let generative AI augment your creativity. Create impressive artworks straight from your imagination.",Image,Image generation,Applications (Horizontal),Image,Image Generation,General,Yes,2022.0,Europe,,,,,,,
GetAnswer,100000.0,,,https://getanswer.ai/," GetAnswer is an AI-based platform that provides instant, expert answers to technical questions, aiding users in solving complex problems quickly and effectively.",Chatbot/Conversational AI,ChatGPT for the intranet,Applications (Horizontal),,,,,2023.0,SF Bay Area,,,,,,,
GGPredict,2060000.0,"Google for Startups, ff Venture Capital, TDJ Pitango Ventures",,https://ggpredict.io/," GGPredict
Short Description: GGPredict provides AI-powered analytics and predictions for competitive eSports, enhancing strategic decisions and performance for gamers and teams.",Game,Gaming training,Applications (Vertical),,,,,2019.0,Europe,,,,,,,
Ginger,11700000.0,"Horizons Ventures, Harbor Pacific Capital, Jerusalem Global Ventures",,https://www.gingersoftware.com/," Ginger
 Ginger offers an AI-powered English language writing app that helps correct grammar, spelling, and punctuation errors for clearer communication.",Text,Writing/Editing,Applications (Horizontal),,,,,2007.0,Other US,,,,,,,
GitHub Copilot,350000000.0,"Thrive Capital, Andreessen Horowitz, Sequoia Capital, EquityZen, SVA",,https://github.com/features/copilot, GitHub Copilot is an AI-powered code assistant that suggests lines or blocks of code to help developers write more efficiently and with fewer errors.,Code,Code Generation,AI Development & Tools,,,,,2008.0,SF Bay Area,,,,,,,
Glasp,500000.0,,,https://glasp.co/," Glasp is a generative AI company that offers an AI tool for creating unique, high-quality glassware designs.",Summarization,Note summarization / annotation,Applications (Vertical),,,,,2021.0,SF Bay Area,,,,,,,
Glean,155000000.0,"Sequoia Capital, General Catalyst, Lightspeed Venture Partners, Kleiner Perkins, Slack Fund",200.0,https://www.glean.com/,"* Know what your company knows, instantly.
- Glean searches across all your company's apps to help you find exactly what you need and discover the things you should know.",Semantic Search,Knowledge,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,2019.0,SF Bay Area,,,,,,,
Glimmer AI,,,,https://glimmerai.tech/," Glimmer AI
 Glimmer AI uses generative AI to create unique, personalized content for marketing, advertising, and other creative industries.",MLOps/Platform,Presentation generation,Applications (Vertical),,,,,2023.0,Other US,,,,,,,
Glimpse.ai,,,,https://www.glimpse.ai/," Glimpse.ai specializes in generating custom, high-quality datasets for machine learning. They provide data labeling and synthetic data generation services to improve AI model training.",Text,Natural Langauge Generation,AI Development & Tools,,,,,2020.0,Other US,,,,,,,
GlossAI,8000000.0,"MindCET, Maccabee Ventures, 97212 Ventures, New Era Capital Partners, Rafi Gidron",,https://glossai.co/,"GlossAI: An AI-powered platform that automates and enhances content creation, making it faster and easier to generate high-quality written content.",Video,Automatic video highlights,Applications (Horizontal),,,,,2020.0,Israel,,,,,,,
GoatChat,1000000.0,500 Global,,https://goatchat.ai/," GoatChat offers AI-driven chatbot solutions that help businesses automate their customer service and engagement, improving efficiency and customer experience.",Chatbot/Conversational AI,Any AI Model accessed on Mobile,Applications (Horizontal),,,,,2021.0,Other US,,,,,,,
GoCharlie,1262500.0,"Alchemist Accelerator, Goodwater Capital, XRC Ventures, SRI International",,https://gocharlie.ai/," GoCharlie is an AI-powered financial management platform providing automated budgeting, expense tracking, and personalized insights to optimize users' financial health.",Text,Marketing content creation,Applications (Vertical),,,,,2021.0,SF Bay Area,,,,,,,
Gooey.ai,,"Blume Ventures, Techstars",,https://www.gooey.ai/," Gooey.ai offers a platform for generating dynamic and interactive 3D characters using AI, perfect for game developers, animators, and digital content creators.",MLOps/Platform,Image Generation,Applications (Vertical),,,,,2022.0,"Seattle, WA",,,,,,,
Grammarly,400000000.0,"General Catalyst, BlackRock, Baillie Gifford, Breyer Capital, Sozo Ventures",,https://www.grammarly.com/," Grammarly is an AI-powered writing assistant that helps users write clear, mistake-free text while also suggesting style improvements.",Text,Writing/Editing,Applications (Horizontal),,,,,2009.0,SF Bay Area,,,,,,,
