Category,Name,URL,Org URL,$ Raised ,Top Investors,Founded,HQ Region,Focus
Image,Fy!,https://www.iamfy.co/,,"$10,977,391","500 Global, Seedrs, Hoxton Ventures, Forward Partners, Redbus Ventures",2014,"London, UK",Transforming everyones' homes with generative AI
Chatbot/Conversational AI,Replika,https://replika.ai/,,"$10,920,000","Y Combinator, Khosla Ventures, Ludlow Ventures, ACME Capital, Richard Socher",2015,SF Bay Area,AI personal companion
Sentiment Analysis,Viable,https://www.askviable.com/,,"$10,900,000","Bossanova Investimentos, Craft Ventures, Merus Capital, GTMfund, StratMinds",2020,SF Bay Area,Customer support / text analysis
Image,Simplified,https://simplified.com/,,"$10,700,000","Bossanova Investimentos, Wing Venture Capital, Khosla Ventures, Uncorrelated Ventures, Craft Ventures",2020,SF Bay Area,Content Creation/Publishing
Text,Intento,https://inten.to/,,"$10,649,998","Berkeley SkyDeck Fund, SkyDeck Berkeley, Amadeo Global, SmartHub, Davidovs Venture Collective (DVC)",2016,SF Bay Area,Content Translation
Game,The Simulation,https://fablesimulation.com/,,"$10,500,000","Manta Ray, Social Discovery Ventures, Day One Ventures, LionTree LLC, 7percent Ventures, Boston Seed Capital, Dream Machine, GFR Fund, Outpost Capital LLC, Riverside Ventures, AET Fund (Akatsuki Entertainment Technology Fund), Super Ventures",2017,SF Bay Area,NFT metaverse simulation
Audio,Moises,https://moises.ai/,,"$10,425,709","Alumni Ventures, Norwest Venture Partners, Goodwater Capital, Index Ventures, Monashees",2019,Other US,"Songwriting, Isolate vocals/instruments"
Data,Mindtech,https://www.mindtech.global/,,"$10,122,887","Appen, Deeptech Labs, NPIF – Mercia Equity Finance, In-Q-Tel",2017,"London, UK",Synthetic data generation
Audio,WellSaid,https://wellsaidlabs.com/,,"$10,000,000","Qualcomm Ventures, FUSE, Good Friends, Voyager Capital",2018,"Seattle, WA",Text to Speech
Image,Bria,https://bria.ai/,,"$10,000,000","Intel Ignite, Getty Images, Entrée Capital, IN Venture",2020,Israel,"Find, create, and edit visual content"
Chatbot/Conversational AI,UneeQ,https://digitalhumans.com/,,"$10,000,000","Alium Capital, Icehouse Ventures, Navigate Ventures LLC",2010,APAC,Digital human creator platform
Text,Copysmith,https://copysmith.ai/,,"$10,000,000","PSG Equity, Harmony Venture Labs",2020,SF Bay Area,Marketing content creation
Text,Omneky,https://www.omneky.com/,,"$10,000,000","Village Global, Hyphen Capital, Richard Socher, Bruno Faviero, FAST — by GETTYLAB",2018,SF Bay Area,Marketing / ad generation
Audio,Amberscript,https://www.amberscript.com/en/,,"$9,995,401","Endeit Capital, VentureBuilders Capital",2017,Europe,Transcription and subtitles
Chatbot/Conversational AI,NLX,https://nlx.ai/,,"$9,600,000","Flying Fish Partners, JetBlue Ventures, IAG Capital Partners, Sage Venture Partners, Rob Meyerson",2018,"New York, NY",Contact Center
Code,DhiWise,https://www.dhiwise.com/,,"$9,500,000","Accel, India Quotient, Dholakia Ventures, Together Fund",2021,APAC,Design to Code conversion
Text,Outplay,https://outplayhq.com/,,"$9,300,000","Kunal Shah, Surge, Sequoia Capital India, Khadim Batti, Krish Subramanian",2019,Other US,Sales / email generation
Text,MarketMuse,https://www.marketmuse.com/,,"$9,238,000","Creative Destruction Lab (CDL), Silicon Valley Bank, Panache Ventures, Riverside Company, Colle Capital Partners",2015,Other US,Content creation
Image,Tiamat World,http://www.tiamat.world/,,"$9,000,000","DCM Ventures, Vitalbridge Capital, Linear Capital",2021,APAC,Text-to-Image Generation
Bio,Profluent,https://www.profluent.bio/,,"$9,000,000","Insight Partners, AIX Ventures, Air Street Capital, Phoenix Venture Partners",2022,SF Bay Area,Decoding the language of proteins with AI
Video,HeyGen,https://www.heygen.com/,,"$9,000,000","Sequoia Capital China, IDG Capital, Baidu Ventures",2022,"Los Angeles, CA",Text to Video
Audio,Amper,https://www.ampermusic.com/,http://www.shutterstock.com,"$9,000,000",Insight Partners,2003,"New York, NY",Song generation
Audio,Podcastle,https://podcastle.ai/,,"$8,750,000","Correlation Ventures, Sierra Ventures, RTP Global, s16vc, AI Fund",2020,MENA,"Podcast recording, editing, exporting"
Bio,Valence,https://www.valencediscovery.com/,,"$8,527,784","Techstars, Creative Destruction Lab (CDL), Brightspark Ventures, FounderFuel, Panache Ventures",2018,North America (excl. US),Drug discovery platform
Text,Personal.ai,https://www.personal.ai,,"$8,400,000","Village Global, Differential Ventures, BBG Ventures, Jane Street Capital, Good Friends",2020,"New York, NY",Personalized digital minds
Data,DataHawk,https://datahawk.co/,,"$8,374,667","FrenchFounders, Hi Inov - Dentressangle, Axeleo Capital, Spring Invest, Bleu Capital",2017,Europe,Commerce analytics platform
Chatbot/Conversational AI,Vozy,https://www.vozy.co,,"$8,082,600","Globant, Parallel18, Wayra, The Ark Fund, Arash Ferdowsi",2017,LatAm,Conversational voice intelligence
MLOps/Platform,Contents,https://www.contents.com/,,"$8,023,701","Fabio Cannavale, Synergo Capital, Alberto Chalon, Jacopo Paoletti",2020,Europe,Content creation platform
Summarization,One AI,https://www.oneai.com/,,"$8,000,000","Ariel Maislos, Tomer Weingarten, TechAviv Founder Partners",2021,Israel,NLP AI / article summaries
Chatbot/Conversational AI,Verloop,https://verloop.io/,,"$8,000,000","ADQ, Mohandas Pai, Anand Chandrasekaran, Kris Gopalakrishnan, Ganesh Krishnan",2016,APAC,Automated Virtual Agents
Video,GlossAI,https://glossai.co/,,"$8,000,000","MindCET, Maccabee Ventures, 97212 Ventures, New Era Capital Partners, Rafi Gidron",2020,Israel,Automatic video highlights
Image,CSM,https://csm.ai/,,"$7,579,994","Intel Capital, Glasswing Ventures, Toyota Ventures, Omidyar Technology Ventures, Blindspot Ventures",2020,Other US,3D Image Generation
Video,Metaphysic,https://metaphysic.ai/,,"$7,500,000","8VC, Winklevoss Capital, Section 32, Logan Paul, QP Ventures",2021,"London, UK",AI generated content tools
Code,Seek,https://www.seek.ai/,,"$7,500,000","Battery Ventures, Mustafa Suleyman, Conviction Partners, Bob Muglia, Tristan Handy",2021,"New York, NY",Data queries / SQL
Legal,TermScout,https://www.termscout.com/,,"$7,270,000","NFX, Techstars, Ground Up Ventures, NFX, Underdog Labs, Bridge Investments",2018,Other US,Legal contract platform
Text,Quattr,https://www.quattr.com/,,"$7,065,000","Correlation Ventures, Neotribe Ventures, Emergent Ventures",2019,SF Bay Area,Growth Marketing / SEO Content generation
Data,Kiliba,https://kiliba.com//,,"$7,056,537","Edward Lando, FrenchFounders, Pareto Holdings, Otium Capital, Thibaud Hug de Larauze",2018,Europe,E-commerce marketing
Chatbot/Conversational AI,Tymely,https://www.tymely.ai/,,"$7,000,000","Insight Partners, Hetz Ventures, 97212 Ventures, DESCOvery",2020,"New York, NY",Contact Center (E-Commerce)
Text,theGist,https://www.thegist.ai/,,"$7,000,000","Aleph, StageOne Ventures, Avishai Abrahami, Yoav Vilner, Itzik Ben Bassat",2022,Israel,Summarizes Slack messages
Video,Detail,https://detail.co/,,"$7,000,000","TQ Ventures, Hustle Fund, Connect Ventures, Joe Thomas, Point Nine",2020,Europe,"Record, remix, and share videos"
MLOps/Platform,BLOOM,https://bigscience.notion.site/BLOOM-BigScience-176B-Model-ad073ca07cdf479398d5f95d88e218c4,,"$7,000,000",publicly funded through grants,2022,Europe,Open-source text generation model
Audio,Lovo,https://www.lovo.ai/,,"$6,850,000","Google for Startups, Primer Sazze Partners, Goodwater Capital, TIPS Program, Kakao Investment",2019,SF Bay Area,Voiceovers
Text,BrandMuscle,https://www.brandmuscle.com/,,"$6,500,000",Alta Communications,2000,Other US,Marketing Automation and Compliance for Local businesses
Data,Zenlytic,https://www.zenlytic.com/,,"$6,400,000","Correlation Ventures, Primary Venture Partners, Bain Capital Ventures, Sequoia Capital (SSF), Company Ventures",2018,"New York, NY","LLM business intelligence tool, lets you chat with a cloud data warehouse"
Text,Data Skrive,https://dataskrive.com/,,"$6,285,000","Puget Sound Venture Club, Bettor Capital",2013,"Seattle, WA",Marketing content creation
Video,Colossyan,https://www.colossyan.com/,,"$6,179,350","APX, LAUNCHub Ventures, Day One Capital, Oktogon Ventures, Emerge Education",2020,Other US,AI Video Creation
Video,Tavus,https://www.tavus.io/,,"$6,100,000","Sequoia Capital, Y Combinator, Accel, Lightspeed Venture Partners, Hack VC",2020,SF Bay Area,Personalized videos
Video,Peech,https://www.peech-ai.com/,,"$6,000,000","Ariel Maislos, Cardumen Capital, fresh.fund, Ibex Investors, Nuseir Yassin",2020,Israel,Content creation
Video,Wombo,https://www.wombo.ai/,,"$6,000,000","500 Global, FJ Labs, Global Founders Capital, 468 Capital, Sound Ventures",2020,North America (excl. US),Lip Synced Visualizations
MLOps/Platform,SliceX AI,https://slicex.ai/,,"$6,000,000",,2021,SF Bay Area,Machine learning platform
Image,Prisma Labs,https://prisma-ai.com/,,"$6,000,000","Palta, Elysium Venture Capital, Taver Capital Partners",2016,SF Bay Area,Photo to art generation
Game,Masterpiece Studio,https://masterpiecestudio.com/,,"$6,000,000","Boost VC, Panache Ventures, Capital Angel Network, ideaBOOST",2016,North America (excl. US),3D model generation / editing
Game,Scenario,https://www.scenario.com/,,"$6,000,000","Play Ventures, Anorak Ventures, Justin Kan, Graph Ventures, The Venture Reality Fund/VRF",2021,SF Bay Area,Enables anyone to easily create game assets
Image,DeckRobot,https://www.deckrobot.com/,,"$5,850,000","Charlie Songhurst, Flyer One Ventures, Alex Turbanov, Pragmatech Ventures, Victor Savyuk",2017,SF Bay Area,Slide deck design
Bio,Cradle,https://cradle.bio/,,"$5,698,637","Index Ventures, Kindred Capital, John Zimmer, Emily Leproust",2021,Europe,Protein Generation
Data,Syntegra,https://www.syntegra.io/,,"$5,625,000","Village Global, WVV Capital, Launchpad Capital, Impact Venture Capital, GRIDS Capital",2019,SF Bay Area,Healthcare synthetic data
Video,Reface,https://hey.reface.ai/,,"$5,500,000","Andreessen Horowitz, TQ Ventures, Adventures Lab, Sergey Tokarev",2018,Europe,Face swaps
Text,OthersideAI,https://www.othersideai.com/,,"$5,400,000","Madrona, Siqi Chen, Chapter One Ventures, Active Capital, Hustle Fund",2020,"New York, NY",Writing/Editing
Game,Replica,https://replicastudios.com/,,"$5,373,757","Flying Fox Ventures, Techstars Ventures, The Venture Reality Fund/VRF, Carthona Capital, Mawson Ventures",2018,Australia,AI Voice Actors
Text,Phrasee,https://phrasee.co/,,"$5,334,267","AlbionVC, Next Fifteen Communications Group, Galvanise Capital, Capital D",2015,"London, UK",AI Content
Chatbot/Conversational AI,Astrid,https://www.astrideducation.com/,,"$5,300,000",,2020,Europe,Personalized English tutoring
Video,GAN,https://gan.ai/,,"$5,250,000","Emergent Ventures, Surge",2021,Other US,Personalized videos
Text,Flowrite,https://www.flowrite.com/,,"$5,060,000","Lifeline Ventures, Moonfire Ventures, Ilkka Paananen, David Helgason, Seedcamp",2020,Europe,Email generation
Chatbot/Conversational AI,Certainly,https://certainly.io/,,"$5,058,801","Seed Capital, VF Venture, Esben Gadsbøll, Thomas Black Petersen",2016,Europe,E-Commerce Customer Support
Semantic Search,Netail,https://netail.ai/,,"$5,000,000","Magarac Venture Partners, AI Fund, HKSTP Ventures",2022,SF Bay Area,Multi-modal AI enabled omnichannel intelligence
Text,Demandwell,https://www.demandwell.com/,,"$5,000,000",High Alpha,2018,Other US,Content/marketing
MLOps/Platform,Wand,https://wand.ai/,,"$5,000,000","Angels, Rebellion Ventures",2022,Israel,End-to-end AI platform to solve business problems and create value faster
Image,Neurolabs,https://www.neurolabs.ai/,,"$4,920,613","Charlie Songhurst, 7percent Ventures, LAUNCHub Ventures, Lunar Ventures, Techstart Ventures",2018,"London, UK",Computer vision for CPG
Text,Novus Writer,https://novuswriter.ai/,,"$4,749,040","Startup Wise Guys, MIT Sandbox",2020,Other US,Written / Visual Content generation
Video,Pictory,https://pictory.ai/,,"$4,716,218","FUSE, Voyager Capital, Bill Bryant, Bharat Shyam, Omri Bahat",2019,"Seattle, WA",Text to Video
Video,Waymark,https://waymark.com/,,"$4,616,262","Draper Associates, Revolution, Revolution’s Rise of the Rest Seed Fund, Detroit Venture Partners, First Step Fund",2010,Other US,Text-to-video generation
MLOps/Platform,Obviously.ai,https://www.obviously.ai/,,"$4,600,000","Meta, TMV, B Capital Group, Golden Gate Ventures, iSeed",2020,SF Bay Area,No-code AI tool
Sentiment Analysis,Pluralytics,https://pluralytics.com/,,"$4,600,000",Ecliptic Capital,2020,Other US,Text sentiment analysis
Chatbot/Conversational AI,Cass,https://www.cass.ai/,,"$4,600,000",PivotNorth Capital,2014,SF Bay Area,Automated Virtual Agents (Healthcare)
Text,Twain,https://www.usetwain.com/,,"$4,530,895","Sequoia Capital, Calm/Storm Ventures, TQ Ventures, Andreas Kupke, Johann ""Hansi"" Hansmann",2021,Europe,Email Outbound
Code,Codex,https://usecodex.com/,,"$4,525,000","NFX, Y Combinator, Ludlow Ventures, Four Cities Capital, NFX, Emergence Capital",2021,North America (excl. US),Code documentation
Game,Hypothetic,https://www.hypothetic.art/,,"$4,505,000",Trevor Wright,2021,"Los Angeles, CA",3D art creation and asset management
Audio,Poised,https://www.poised.com,,"$4,500,000","Wing Venture Capital, Next Play Ventures, Hyphen Capital, Concrete Rose Capital, Slack Fund",2020,SF Bay Area,AI communication coach
Audio,Speechify,https://speechify.com/,,"$4,500,000","G9 Ventures, Streamlined Ventures, Adjacent",2017,"Miami, FL",Text to Speech
Image,Skippr,https://skippr.com/,,"$4,500,000",,2022,"London, UK",Product design
Semantic Search,Dashworks,https://www.dashworks.ai/,,"$4,500,000","Y Combinator, South Park Commons, Unpopular Ventures, Goat Capital, Emmett Shear",2020,SF Bay Area,Search engine platform
Audio,Boomy,https://boomy.com/,,"$4,451,016","Warner Music Group, Boost VC, Future Labs, Scrum Ventures, First Check Ventures",2018,SF Bay Area,Song generation
Text,Contlo,https://contlo.com/,,"$4,300,000","Titan Capital, Better Capital, Varun Alagh, Kae Capital, Harshil Mathur",2021,Other US,E-commerce Marketing
Video,Dob Studio,https://www.dob.world/,,"$4,256,732","Dexter Studios, Timewise Investment, Nau IB Capital, TINVESTMENT",2020,APAC,Virtual humans
Chatbot/Conversational AI,Circle Labs,https://circlelabs.xyz/,,"$4,200,000","Techstars, Lightspeed Venture Partners, Daniel Gross, Haystack, Scott Belsky",2021,SF Bay Area,AI NPC platform
Text,Quillbot AI,https://quillbot.com/,,"$4,200,000","Sierra Ventures, Service Provider Capital, GSV Ventures",2017,Other US,Writing (paraphrasing)
Semantic Search,Consensus,https://consensus.app/,,"$4,200,000","Alumni Ventures, Draper Associates, Winklevoss Capital, Brian Pokorny, Nomad Capital",2021,Other US,Scientific Search / data organization
Text,Dynamo,https://www.dynamo.fyi/,,"$4,150,000",,2018,Israel,Social media content OS
Game,Latitude/AI Dungeon,https://play.aidungeon.io/main/home,https://latitude.io/,"$4,100,000","NFX, NFX, Griffen, Album.vc",2019,Other US,Games generation
Image,Diagram,https://diagram.com/,,"$4,100,000","Lachy Groom, Basis Set Ventures, Ludlow Ventures, Weekend Fund, base case capital",2022,"New York, NY",Product Design
Audio,Voiseed,https://www.voiseed.com/,,"$4,073,637","European Innovation Council, LIFTT, SkyDeck Berkeley",2020,Europe,Multilingual AI dubbing platform
Text,Conversion Maker AI,https://conversionmaker.ai/,https://conversionmaker.com/,"$4,072,333",Christian Funk Holding,2020,Europe,Text generation
Video,EmbodyMe,https://embodyme.com/,,"$4,056,294","Techstars, SMBC Venture Capital, Incubate Fund, Deepcore, Japan Finance",2016,APAC,Face swaps
Summarization,Weave.ai,https://www.weave.ai/,,"$4,000,000",Techstars,2015,"Seattle, WA",Summarization
Code,10Web,https://10web.io/,,"$4,000,000","Sierra Ventures, AI Fund",2017,Other US,Website Generation
Legal,Clawdia,https://www.clawdia.ai/,,"$4,000,000",Google for Startups,2021,"Los Angeles, CA",Automated Legal Solutions
Code,The.com,https://www.the.com/,,"$4,000,000","NFX, NFX, Sound Ventures, Harry Stebbings, Village Global, VSC Ventures, Jay Parikh",2021,SF Bay Area,Website Generation
Audio,Resemble,https://www.resemble.ai/,,"$4,000,000","Betaworks, Craft Ventures, Canaan Partners, Spacecadet Ventures, GMG Ventures",2018,North America (excl. US),Voiceovers
Sentiment Analysis,Staircase,https://staircase.ai/,,"$4,000,000","StageOne Ventures, Disruptive AI Venture Capital",2021,"Los Angeles, CA",Text sentiment analysis / contact center
Video,Reduct Video,https://reduct.video/,,"$4,000,000","Elad Gil, Dylan Field, South Park Commons, Greylock, Pear VC",2018,SF Bay Area,Video editing
Image,Poly,https://withpoly.com/,,"$4,000,000","Y Combinator, Figma, Goodwater Capital, NextView Ventures, Bloomberg Beta",2022,Other US,Design
Image,Pencil,https://www.trypencil.com/,,"$3,850,000",Wavemaker Partners,2018,APAC,Ad recommendations
Audio,Soundful,https://soundful.com/,,"$3,800,000",,2019,"San Diego, CA",Song generation
MLOps/Platform,Lighton,https://lighton.ai/,,"$3,705,408","Anorak Ventures, Quantonation, CEA Investissement",2016,Europe,NLP
Bio,Variational AI,https://variational.ai/,,"$3,658,940","Flying Fish Partners, Alliance of Angels, Lip-Bu Tan, Amarjit Gill, A&E Investments",2019,North America (excl. US),Novel and selective kinase inhibitors (cancer drugs)
Chatbot/Conversational AI,XOKind,https://www.xokind.com/,,"$3,600,000","Section 32, Adam D’Angelo, Naveen Rao, Frederic Kerrest, Avid Larizadeh",2019,"San Diego, CA",Support (Chat/Email)
Audio,Supertone,https://supertone.ai/,,"$3,572,705","Hybe, Big Hit Music",2020,APAC,Voice Generation / cloning
Summarization,Agolo,https://www.agolo.com/,,"$3,540,000","Google, Microsoft, Alumni Ventures, Google Ventures, Thomson Reuters",2012,"New York, NY",Summarization
MLOps/Platform,Slai,https://www.slai.io/,,"$3,500,000","Alumni Ventures, Y Combinator, Tiger Global Management, Soma Capital, Uncorrelated Ventures",2021,Other US,Model dev
Text,Scalenut,https://www.scalenut.com/,,"$3,500,000","Titan Capital, Saama Capital, AngelList India, Amit Singhal, First Principles",2020,APAC,Content/marketing
Video,Potion,https://www.sendpotion.com/,,"$3,500,000","Unshackled Ventures, Streamlined Ventures",2020,SF Bay Area,Personalized videos
Data,OneView,https://one-view.ai/,,"$3,500,000","Intel Ignite, TPY Capital, RDC - Rafael Development Corporation, MediaTek Ventures",2019,Israel,Geospatial data
Text,NuMind,https://www.numind.ai/,,"$3,500,000","Y Combinator, Pioneer Fund, Flybridge, big_bets, Sharpstone Capital",2022,Other US,Custom NLP models
Text,Typewise,https://www.typewise.app/,,"$3,447,167","Y Combinator, Innosuisse, Seedrs, SICTIC, Rebel Fund",2019,Europe,Writing (CS / Sales)
Audio,Altered,https://www.altered.ai/,,"$3,300,000",Big Pi,2018,"London, UK",Voice augmentation
Audio,Coqui,https://coqui.ai/,,"$3,300,000","ScaleX Ventures, Mango Capital, DNX Ventures",2021,Europe,Text to Speech / Voice Synthesis
Chatbot/Conversational AI,Cohere.io,https://cohere.io/,,"$3,250,000","Y Combinator, Initialized Capital, Soma Capital, Chapter One Ventures, BoxGroup",2020,"New York, NY",Customer Support
Data,YData,https://ydata.ai/,,"$3,242,540","Techstars, Google for Startups, Real Ventures, Flying Fish Partners, Faber",2019,"Seattle, WA",Synthetic data generation for AI
Sentiment Analysis,MonkeyLearn,https://monkeylearn.com/,,"$3,235,000","500 Global, Uncork Capital, Bling Capital, Howie Liu, Garuda Ventures",2014,SF Bay Area,Text analysis
Summarization,Summari,https://www.summari.com/,,"$3,200,000",SVA,2019,SF Bay Area,Summarization (reading)
Chatbot/Conversational AI,Attention,https://www.attention.tech/,,"$3,134,991","Eniac Ventures, Liquid 2 Ventures, MGV, Ride Ventures, Frst",2021,"New York, NY",Voice assistant for sales
Image,Let's Enhance,https://letsenhance.io/,,"$3,120,000","Techstars, Acrobator Ventures | Acrobator.vc, Digital Future, Synetro Group, Chamaeleon",2018,SF Bay Area,Photo enhancement
Video,Windsor,https://www.windsor.io/,,"$3,100,000","Y Combinator, Guillermo Rauch, Precursor Ventures, Siqi Chen, Andrew Wilkinson",2018,SF Bay Area,Personalized videos
Audio,NeuralSpace,https://www.neuralspace.ai/,,"$3,071,875","Techstars, APX, Merus Capital, Verissimo Ventures, GoHub Ventures",2019,"London, UK",Speech to Text
Image,Zocket,https://www.zocket.com/,,"$3,022,254","Kalaari Capital, Jasminder Gulati, Kettleborough VC",2021,APAC,Digital Ad generation platform
Text,Sudowrite,https://www.sudowrite.com/,,"$3,000,000",500 Global,2020,SF Bay Area,Writing (automated)
Audio,Stylo,https://www.askstylo.com/,,"$3,000,000","Caffeinated Capital, Matchstick Ventures, Converge, VITALIZE Venture Capital",2021,Other US,Contact Center
Text,HIPSTO,https://hipsto.ai/,,"$3,000,000",,2017,Europe,AI Knowledge Discovery Platform
Image,Cala,https://ca.la/,,"$3,000,000","Real Ventures, Maersk Growth, Ding Ventures",2016,"New York, NY",AI Design
Chatbot/Conversational AI,Pragma,https://www.pragma.ai/,,"$2,800,000","INT3, Secret Chord Ventures",2021,Israel,AI sales assistant
Code,Mintlify,https://mintlify.com//,,"$2,800,000","Y Combinator, Bain Capital Ventures, TwentyTwo VC, Quinn Slack",2020,"New York, NY",Code Documentation
Data,Akooda,https://www.akooda.co/,,"$2,800,000","NFX, Village Global, Founder Collective, Argon Ventures, New Era Capital Partners, Intel Ignite",2020,Other US,SaaS knowledge management
MLOps/Platform,Humanloop,https://humanloop.com/,,"$2,725,000","Y Combinator, Index Ventures, Gerald Parloiu, Raphael Danilo, UCL Technology Fund",2020,"London, UK",Model development
Video,Maverick,https://www.trymaverick.com/,,"$2,700,000",Nick Raushenbush,2021,SF Bay Area,Personalized videos for e-commerce
Video,OASIS,https://theoasis.com/,,"$2,700,000","Bossanova Investimentos, Shane Neman, Zillionize, George Burke, Atypical Ventures",2019,Other US,Face swaps
Audio,Pilot,http://www.pilot-ai.org/,,"$2,700,000","Y Combinator, Arash Ferdowsi, Emmett Shear",2022,SF Bay Area,Speech to text / data organization
Text,Writesonic,https://writesonic.com/,,"$2,625,000","Y Combinator, Soma Capital, Amino Capital, HOF Capital, Rebel Fund",2021,SF Bay Area,Content Writing
Audio,Sonantic,https://www.sonantic.io/,,"$2,570,651","Edward Lando, Entrepreneur First, AME Cloud Ventures, EQT Ventures, Jeremy Yap",2018,"London, UK",Voice Generation
Video,Plask,https://plask.ai/,,"$2,567,768","Smilegate Investment, TIPS Program, KT investment, NAVER D2 Startup Factory, Timewise Investment",2020,APAC,Animation
Avatars,Lalaland,https://lalaland.ai/,,"$2,551,073","Google for Startups, ASIF Ventures, Innovatiefonds Noord-Holland, Unknown Group, ACE Incubator",2019,Europe,Digital avatar models
Semantic Search,Andi,https://andisearch.com/,,"$2,500,000","Gaingels, Y Combinator, Goodwater Capital, BBQ Capital, Acacia Venture Capital Partners",2021,"New York, NY",Smart Search Assistant
Image,Hypar,https://hypar.io/,,"$2,480,000",Building Ventures,2018,"Los Angeles, CA",Architecture design
Audio,Aiva Technologies,https://www.aiva.ai/,,"$2,466,273","NetEase, Kima Ventures",2016,Europe,Song generation
Image,Depix,https://www.depix.ai/,,"$2,453,916","Anges Quebec, AQC Capital",2019,North America (excl. US),"Background removal, Photo enhancement"
Data,Betterdata,https://www.betterdata.ai/,,"$2,420,000","Entrepreneur First, Tenity, Investible, Plug and Play, Franklin Templeton Investments",2021,APAC,Synthetic Data
Image,KREA,https://www.krea.ai/,,"$2,320,000","Asymmetry Ventures, Cassis & Cassis Capital, Corner3, Datapower Ventures, DayDreams Ventures, DCA Asset Management, FirstMile Ventures, Kickstart Seed Fund, Moontide Capital, Service Provider Capital, Techstars, The Fund",2022,"Miami, FL",Art generation
MLOps/Platform,TrueFoundry,https://www.truefoundry.com/,,"$2,300,000","Trajectory Ventures, Vijay Shankar, Eniac Ventures, Naval Ravikant, Mana Ventures",2021,SF Bay Area,Model development
Code,Codiga,https://www.codiga.io/,,"$2,220,000","Techstars, LAUNCH, Service Provider Capital, Vishal Rao, 2.12 Angels",2019,Other US,Code Quality
Chatbot/Conversational AI,Botco.ai,https://botco.ai,,"$2,200,000","Alchemist Accelerator, VamosVentures, Stout Street Capital, Desert Angels, Arizona Tech Investors",2017,Other US,Generate AI chatbots
Audio,Mubert,https://mubert.com/,,"$2,200,000","AltaIR Capital, IT-Farm, FunCubator, LVL1 Group, GVA Capital",2017,Other US,Song generation
Audio,Aflorithmic,https://www.aflorithmic.ai/,,"$2,185,011",Crowd Media,2019,"London, UK",Audio as a Service
Text,Compose AI,https://www.compose.ai/,,"$2,100,000","Y Combinator, Craft Ventures, Root and Shoot Ventures",2020,SF Bay Area,Writing (automated)
MLOps/Platform,Boltzbit,https://boltzbit.com/,,"$2,087,089","Speedinvest, IQ Capital",2020,"London, UK",Generative AI Platform
Game,GGPredict,https://ggpredict.io/,,"$2,060,000","Google for Startups, ff Venture Capital, TDJ Pitango Ventures",2019,Europe,Gaming training
Chatbot/Conversational AI,Mana,http://withmana.com/,,"$2,050,595","Goodwater Capital, Global Founders Capital, Flash Ventures",2020,"London, UK",AI back office
Code,aiXcoder,https://www.aixcoder.com/,,"$2,050,395","Hillhouse Capital Group, PreAngel",2017,APAC,Code Completion
MLOps/Platform,Featureform,https://www.featureform.com/,,"$2,000,000","Zetta Venture Partners, Berkeley SkyDeck Fund",2019,SF Bay Area,Model development
Summarization,Upword,https://upword.ai/,,"$2,000,000",ATOORO FUND,2019,Other US,News summarization
Audio,Ecrett,https://ecrettmusic.com/,https://soundraw.io/,"$2,000,000","Ceres (Japan), Deepcore, iSG Investment Works, Mint (Tokyo), SMBC Venture Capital",2020,APAC,Music generation
Semantic Search,Metaphor,https://metaphor.systems/,,"$2,000,000","Y Combinator, Lombardstreet Ventures, FAST — by GETTYLAB, Atypical Ventures, Helium-3 Ventures",2021,"New York, NY",Video/Image Search
Audio,SoundRaw,https://soundraw.io/,,"$1,959,467","Ceres, SMBC Venture Capital, Mint, Deepcore, ANOBAKA",2020,APAC,Song generation
Video,Munch,https://www.getmunch.com/,,"$1,930,000","Remagine Ventures, Amir Shevat, Cardumen Capital, Ron Levy, Nuseir Yassin",2021,Israel,automated video highlights and overlays
Audio,Amadeus Code,https://amadeuscode.com/app/en,,"$1,825,534",World Innovation Lab (WiL),2017,APAC,Song generation
MLOps/Platform,Banana,https://www.banana.dev/,,"$1,820,000",Alumni Ventures,2021,SF Bay Area,Model deployment
Text,United Robots,https://www.unitedrobots.ai/,,"$1,766,281",Investment AB Spiltan,2016,Europe,News Publishing / Generation
Bio,NeuroX1,http://www.neurox1.com/,,"$1,750,000","Drive Capital, Trousdale Ventures, Vibe Capital",2021,Other US,Drug design for neurodegenerative diseases
Game,ZibraAI,https://zibra.ai/,,"$1,700,000","Sebastien Borget, All Turtles, SID Venture Partners, Network VC Syndicate Fund, Gismart",2021,Europe,AI-Generated assets for any virtual world
Image,OpenArt,https://openart.ai/,,"$1,600,000","Decent Capital, BasisSet",2022,SF Bay Area,Art generation
Image,Rosebud.ai,https://www.rosebud.ai/,,"$1,500,000","Y Combinator, Kevin Lin, Khosla Ventures, Foothill Ventures, Lux Capital",2019,SF Bay Area,Photo/Video generation
Video,Respeecher,https://www.respeecher.com/,,"$1,500,000","Techstars, Google for Startups, ff Venture Capital, TechNexus Venture Collaborative, Chris Adelsbach",2018,Europe,Voice cloning
Audio,Notably,https://www.notably.ai/,,"$1,500,000","Everywhere Ventures (The Fund), Zelkova Ventures, Sentiero Ventures, Honey Badger Capital OÜ",2021,"New York, NY","Note taking, organization, transcription"
Data,Octopize,https://octopize-md.com/en/,,"$1,500,000","Bpifrance, Pays de la Loire Participations, Atlantique Vendée Innovation, Pays de la Loire Développement",2018,Europe,Synthetic data
