Company,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,Unnamed: 21
Copy Shark,,,,https://www.copyshark.ai/,,Text,Content/Copy creation,,,,,,2021,North America (excl. US),,,,,,,
Copy.ai,13900000.0,"Sequoia Capital, Tiger Global Management, Wing Venture Capital, Elad Gil, Craft Ventures",47.0,https://www.copy.ai/,* Say ‘goodbye’ to the blank page for good,Text,Content creation,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,2020,Other US,,,,,,,
Copymatic,,,,https://copymatic.ai/,,Text,Marketing content creation,,,,,,2021,"Los Angeles, CA",,,,,,,
CopyMonkey,100405.0,"JOINT JOURNEY, Herman Kienhuis, River Venture Partners, EMERGE, Angels Band",,https://copymonkey.ai/,,Text,Marketing / E-Commerce Listings,,,,,,2020,Europe,,,,,,,
Copysmith,10000000.0,"PSG Equity, Harmony Venture Labs",,https://copysmith.ai/,,Text,Marketing content creation,,,,,,2020,SF Bay Area,,,,,,,
Copysmith Artificial Intelligence,10000000000000.0,"Harmony Venture Labs,Providence Strategic Growth",18.0,www.copysmith.ai,"* Copysmith is the AI content creation solution for teams
- Create, launch and distribute marketing content at scale",Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Coqui,3300000.0,"ScaleX Ventures, Mango Capital, DNX Ventures",,https://coqui.ai/,,Audio,Text to Speech / Voice Synthesis,,,,,,2021,Europe,,,,,,,
Correcto,625000.0,"Asymmetry Ventures, Tarek Alaruri",,https://correcto.es/,,Text,Writing / editing (Spanish),,,,,,2021,"London, UK",,,,,,,
Corti,29378315.0,"Vaekstfonden, EASME - EU Executive Agency for SMEs, byFounders, Jeremy Yap, Heartcore Capital",,corti.ai,,Audio,Healthcare Speech to text / data organization,,,,,,2016,Europe,,,,,,,
Coxwave,800000.0,,,https://www.coxwave.com/,,Image,Image editing and search,,,,,,2021,APAC,,,,,,,
Cradle,5698637.0,"Index Ventures, Kindred Capital, John Zimmer, Emily Leproust",,https://cradle.bio/,,Bio,Protein Generation,,,,,,2021,Europe,,,,,,,
Craftly.ai,,,27.0,https://www.craftly.ai/,"* Changing the way the worlds writes.
- The AI Copywriting Assistant that generates original, high converting content the way you like it.",Text,Copywriting,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,2021,North America (excl. US),,,,,,,
Crait AI,,,,http://crait.it/,,Image,AI powered product photography,,,,,,2022,MENA,,,,,,,
Craiyon,,2080 Ventures,,https://www.craiyon.com/,,Image,Art generation,,,,,,2022,Other US,,,,,,,
Creatext,120000.0,Techstars,,https://www.creatext.ai/,,Text,Sales Prospecting / email generation,,,,,,2020,Europe,,,,,,,
Creative Fabrica,68550957.0,"FJ Labs, Alven, Triple Point Ventures, LionTree, Felix Capital",,https://www.creativefabrica.com/spark/,,MLOps/Platform,Art and writing generation,,,,,,2016,Europe,,,,,,,
Cresta,151000000.0,"Zoom, CarMax, Andreessen Horowitz, Genesys, JP Morgan Chase",,https://cresta.com/,,Chatbot/Conversational AI,Contact Center / Customer support,,,,,,2017,SF Bay Area,,,,,,,
Crone AI,,,,https://www.crone.ai,,Chatbot/Conversational AI,AI Business Mentor,,,,,,2022,SF Bay Area,,,,,,,
CSM,7579994.0,"Intel Capital, Glasswing Ventures, Toyota Ventures, Omidyar Technology Ventures, Blindspot Ventures",,https://csm.ai/,,Image,3D Image Generation,,,,,,2020,Other US,,,,,,,
Dala,1400000000000.0,"Andrin Bachmann,Ascension (Financial Services),Ascension Ventures,Ben Stephenson,Evening Fund,James Meekings,Jamie Whitcroft,Johnny Boufarhat,Lyuben Belov,Michael Tefula,Patrick Gilday,Roman Schumacher,Seedcamp,Serge Chiaramonte,The Fund,Valia Ventures,William Neale",8.0,www.dala.ai,* Your workplace has the answer. Ask Dala to find it.,Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Darrow,24000000.0,"NFX, Y Combinator, NFX, Entrée Capital, F2 Capital, Matias Ventures",,https://www.darrow.ai/,,Legal,Legal case generation,,,,,,2020,Israel,,,,,,,
Dashworks,4500000.0,"Y Combinator, South Park Commons, Unpopular Ventures, Goat Capital, Emmett Shear",,https://www.dashworks.ai/,,Semantic Search,Search engine platform,,,,,,2020,SF Bay Area,,,,,,,
Data Skrive,6285000.0,"Puget Sound Venture Club, Bettor Capital",,https://dataskrive.com/,,Text,Marketing content creation,,,,,,2013,"Seattle, WA",,,,,,,
Datachat,30140903.0,"National Science Foundation, Anthos Capital, Celesta Capital, Redline Capital, gbeta",,https://datachat.ai/,,Data,"Chat with your data, naturally",,,,,,2017,Other US,,,,,,,
Datagen,68500000000000.0,"Anthony Goldbloom,Brian Granger,Dragomir Anguelov,Eitan Pilipski,Fernando De la Torre,Gal Chechik,Lihi Zelnik-Manor,Manuel Bronstein,Michael Black,Operator Partners,Raghu Hiremagalur,Scale Venture Partners,Spider Capital,TLV Partners,Trevor Darrell,Vantage Equities,Vintage Investment Partners,Viola Growth,Viola Ventures,Yossi Matias",122.0,www.datagen.tech,"* Simulate the [exact / high-variance / large-scale] data your AI needs
- Get high-performance data that is key to production-ready algorithms",Training Data,,AI Development & Tools,Image,Data Management,General,Yes,,,,,,,,,
DataGen Technologies,72000000.0,"Viola Ventures, Operator Partners, TLV Partners, Spider Capital, Scale Venture Partners",,https://datagen.tech/,,Data,Synthetic data generation,,,,,,2018,Israel,,,,,,,
DataHawk,8374667.0,"FrenchFounders, Hi Inov - Dentressangle, Axeleo Capital, Spring Invest, Bleu Capital",,https://datahawk.co/,,Data,Commerce analytics platform,,,,,,2017,Europe,,,,,,,
DataStax,342571788.0,"Sequoia Capital, Lightspeed Venture Partners, EDBI, Jason Calacanis, Rackspace",,https://www.datastax.com/,,Data,Data stack for building real-time AI apps,,,,,,2010,SF Bay Area,,,,,,,
Debuild,,"FundersClub, Offline Ventures, Founders, Inc.",2.0,https://debuild.app/,"* Code your web app in seconds.
- The AI-powered low-code tool that helps you build web apps blazingly fast.",Code,Web App Builder,Applications (Horizontal),Code,Application Building,General,No,2018,SF Bay Area,,,,,,,
DeckRobot,5850000.0,"Charlie Songhurst, Flyer One Ventures, Alex Turbanov, Pragmatech Ventures, Victor Savyuk",,https://www.deckrobot.com/,,Image,Slide deck design,,,,,,2017,SF Bay Area,,,,,,,
Deep Design Systems,,,,https://www.deepdesignsystems.com/,,Data,Synthetic Industrial Design,,,,,,2022,Europe,,,,,,,Vector Database
Deep Dream Generator,,,,https://deepdreamgenerator.com/,,Image,Image generation,,,,,,2015,SF Bay Area,,,,,,,
Deep Mind Gopher,,,,https://gpt3demo.com/apps/deepmind-gopher,,Text,Text generation,,,,,,2023,Unknown,,,,,,,
DeepBrain AI,52000000.0,"KB Investment, Korea Development Bank, IMM Investment, KDB Capital, L&S Venture Capital",,https://www.deepbrain.io/,,Avatars,Virtual Humans and Avatars,,,,,,2016,SF Bay Area,,,,,,,
DeepDub,20000000000000.0,"Booster Ventures,Daniel Chadash,Danny Grander,Emiliano Calemzuk,Gideon Marks,Insight Partners,Kevin Reilly,Roi Tiger,Stardom Ventures,Swift Ventures",46.0,www.deepdub.ai,"* Global Entertainment Experience, Reimagined. 
- Deepdub aims to bridge the language barrier and cultural gap of entertainment experiences through high-quality localization at scale.",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,Media & Entertainment,Yes,,,,,,,,,
Deepdub,20000000.0,"Insight Partners, Swift Ventures, Danny Grander, Matias Ventures, Stardom Ventures",,https://deepdub.ai/,,Video,Content localization / dubbing,,,,,,2019,Israel,,,,,,,
DeepFiction AI,,,,https://www.deepfiction.ai/,,Text,"Original unfiltered AI generated stories, images, and characters",,,,,,2022,Other US,,,,,,,
DeepGenX,0.0,No Data,,https://www.deepgenx.com/,"* Level up your Coding with CodeGenX
- We are thrilled to announce CodeGenX! A Code Generation system powered bya rtificial intelligence!","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Deepgram,85920000.0,"NVIDIA, Bossanova Investimentos, Y Combinator, Tiger Global Management, BlackRock",,https://deepgram.com/,,Audio,Speech to Text,,,,,,2015,SF Bay Area,,,,,,,
Deepset,15600000.0,"Google Ventures, Acequia Capital (AceCap), Charlie Songhurst, Lunar Ventures, Mustafa Suleyman",29.0,https://www.deepset.ai/,"* Build Natural Language Interfaces for Your Data
- NLP is at the core of modern enterprise data processing. We provide developers with the right tools to build production-ready NLP systems quickly and efficiently.",MLOps/Platform,NLP,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,2018,Europe,,,,,,,
DeepWord,20000.0,Elevate Ventures,,https://www.deepword.co/,,Video,Personalized videos,,,,,,2020,Other US,,,,,,,
Delv AI,550000.0,,,https://www.delv.ai/,,Semantic Search,Hyper-local search and extractive summaries,,,,,,2021,"Miami, FL",,,,,,,
Demandwell,5000000.0,High Alpha,,https://www.demandwell.com/,,Text,Content/marketing,,,,,,2018,Other US,,,,,,,
Depix,2453916.0,"Anges Quebec, AQC Capital",,https://www.depix.ai/,,Image,"Background removal, Photo enhancement",,,,,,2019,North America (excl. US),,,,,,,
Descript,100000000.0,"OpenAI, Andreessen Horowitz, Naval Ravikant, Daniel Gross, Redpoint",109.0,https://www.descript.com/,"* All-in-one audio & video editing, as easy as a doc.",Audio,Voice generation,Applications (Horizontal),Video,Video Editing,General,Yes,2017,SF Bay Area,,,,,,,
Detail,7000000.0,"TQ Ventures, Hustle Fund, Connect Ventures, Joe Thomas, Point Nine",,https://detail.co/,,Video,"Record, remix, and share videos",,,,,,2020,Europe,,,,,,,
DhiWise,9500000.0,"Accel, India Quotient, Dholakia Ventures, Together Fund",58.0,https://www.dhiwise.com/,"* A programming platform where developers can convert their designs into developer-friendly code for Mobile and web apps
- Automates the application development lifecycle and instantly generates readable, modular and reusable code.",Code,Design to Code conversion,Applications (Horizontal),Image,Code generation & Documentation,General,Yes,2021,APAC,,,,,,,
Diagram,4100000.0,"Lachy Groom, Basis Set Ventures, Ludlow Ventures, Weekend Fund, base case capital",,https://diagram.com/,,Image,Product Design,,,,,,2022,"New York, NY",,,,,,,
Dialpad,450000000.0,"SoftBank, Andreessen Horowitz, Google Ventures, Section 32, G Squared",,https://www.dialpad.com/,,Audio,Team/Customer Communications,,,,,,2011,SF Bay Area,,,,,,,
D-ID,47881868.0,"OurCrowd, Y Combinator, Hyundai Motor Company, Pitango VC, Macquarie Capital",,https://www.d-id.com/,,Avatars,Customized videos featuring talking avatars,,,,,,2017,Israel,,,,,,,
Digital Recipe Inc.,300000.0,,,https://www.dxr.co.jp/,,Text,"AI Writing Assistant called ""Catchy""",,,,,,2018,APAC,,,,,,,
DigitalFirst,1065000.0,"Flat6Labs, Polish Agency for Enterprise Development, INNOventure, Michał Tokarski, Grzegorz Gracz",,https://www.digitalfirst.ai/,,Text,Marketing / content generation,,,,,,2021,Europe,,,,,,,
Dob Studio,4256732.0,"Dexter Studios, Timewise Investment, Nau IB Capital, TINVESTMENT",,https://www.dob.world/,,Video,Virtual humans,,,,,,2020,APAC,,,,,,,
DrawAnyone,,,,https://drawanyone.com/,,Image,Image Generation,,,,,,2023,Unknown,,,,,,,
DreamFusion,,,,https://dreamfusion3d.github.io/,,Image,3D image generation,,,,,,2023,Unknown,,,,,,,
DubDub,1300000000000.0,"Accel Atoms,Aprameya Radhakrishna,Deepak Anchala,Force Ventures (India),Forward Slash Capital,Gaurav Kapur,Jaipur Capital,Nishant Mungali,Roshan Abbas,Swati Mohan,Waveform Ventures",,www.dubdub.ai,"* Redefining dubbing: As good as original
- Authentic and Efficient Dubbing solutions in 40+ languages",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Dubverse,800000.0,Kalaari Capital,,https://dubverse.ai/,,Audio,Video dubbing,,,,,,2021,APAC,,,,,,,
DupDub,252763410.0,"Google, Sequoia Capital China, Volkswagen Group, ZhenFund, SIG China (SIG Asia Investments)",,https://www.dupdub.com/,,Audio,Voiceovers,,,,,,2012,APAC,,,,,,,
Durable,12500000.0,"Soma Capital, Lorimer Ventures, South Park Commons, Altman Capital, Torch Capital",9.0,https://durable.co/,"* Launch your business in 30 seconds with AI.
- Instantly build a website and find your first customer in minutes.
- It's the fastest way to launch a business ever.",Code,Web App Builder,Applications (Vertical),Code,Application Building,Marketing,Yes,2021,SF Bay Area,,,,,,,
Dust.tt,0.0,No Data,,www.dust.tt,* Empower  tinkerers  to leverage  generative models  for the use-cases they care about.,"MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Dynamo,4150000.0,,,https://www.dynamo.fyi/,,Text,Social media content OS,,,,,,2018,Israel,,,,,,,
Ecomtent,,Mark Evans,,https://www.ecomtent.ai/,,Image,Product Images for E-commerce,,,,,,2022,North America (excl. US),,,,,,,
Ecrett,2000000.0,"Ceres (Japan), Deepcore, iSG Investment Works, Mint (Tokyo), SMBC Venture Capital",,https://ecrettmusic.com/,,Audio,Music generation,,,,,,2020,APAC,,,,,,,
Edgi Learning,685000.0,,,https://www.edgilearning.com/,,Chatbot/Conversational AI,Homework assistant / chatbot,,,,,,2021,"New York, NY",,,,,,,
Elai,60000.0,"Startup Wise Guys, Google for Startups, SID Venture Partners, Startup Lisboa - Rocket Program",,https://elai.io/,,Video,Text to Video,,,,,,2021,Other US,,,,,,,
Elai.io,100000000000.0,"SID Venture Partners,Startup Wise Guys",12.0,www.elai.io,"* AI Dubbing with Elai.io
- Translate your existing videos into multiple languages",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Electric noir studios,,,,https://www.electricnoirstudios.com/,,Game,Interactive drama mobile games,,,,,,2017,"London, UK",,,,,,,
Eleven Labs,20500000.0,"Daniel Gross, Nat Friedman, Concept Ventures, Credo Ventures",,https://www.elevenlabs.io/,"* New Frontier in Automatic Dubbing
- Eleven Labs is creating tools to automatically dub your videos and podcasts into other languages, while preserving the distinctive features of the speaker’s voice at a fraction of the cost and time of traditional solutions.",Audio,Long format speech generation,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,2022,"New York, NY",,,,,,,
Elicit,,,,https://elicit.org/,,Summarization,Data search / summarization,,,,,,2022,SF Bay Area,,,,,,,
EliseAI,31928985.0,"Navitas Capital, AvalonBay, Golden Seeds, Ground Up Ventures, DivcoWest",,https://www.eliseai.com/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,2017,"New York, NY",,,,,,,
Elomia,265000.0,,,https://elomia.com/,,Chatbot/Conversational AI,Mental Health / Chatbot,,,,,,2021,Europe,,,,,,,
Eluether GPT-NEO,100000000.0,,,https://www.eleuther.ai/,,Text,Text Generation,,,,,,2019,Unknown,,,,,,,
EmbodyMe,4056294.0,"Techstars, SMBC Venture Capital, Incubate Fund, Deepcore, Japan Finance",11.0,https://embodyme.com/,"* Making the unimaginable, imaginable with AI",Video,Face swaps,Applications (Horizontal),Video,Avatars,General,Yes,2016,APAC,,,,,,,
Endel,21221791.0,"Techstars, True Ventures, Kima Ventures, Techstars Ventures, Waverley Capital",,https://endel.io/,,Audio,Personalized soundscapes,,,,,,2018,Europe,,,,,,,
Enterpret,4300000000000.0,"Badrul Farooqi,Cristina Cordova,Curtis Liu,iSeed (India),Kleiner Perkins,Melisa Tokmak,Paige Costello,Sequoia Capital India,Unusual Ventures,Vinay Hiremath",25.0,www.enterpret.com,"* Customer Feedback Intelligence for Product Teams
- All customer feedback categorized automatically combined with advanced analytics capabilities. Ensure no customer pain goes unnoticed.",Voice of the Customer Analysis,,Applications (Horizontal),Code,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Enzyme,120000.0,Techstars,,https://enzyme.so/,,Code,Web App Builders,,,,,,2020,"New York, NY",,,,,,,
EvenUp,12900000.0,"NFX, Bessemer Venture Partners, DCM Ventures, Dash Fund, NFX",,https://www.evenuplaw.com/,,Legal,Legal case generation,,,,,,2019,SF Bay Area,,,,,,,
excelformulabot,,,,https://excelformulabot.com/,,Code,Excel Querying,,,,,,2022,"Miami, FL",,,,,,,
Explosion,6000000000000.0,SignalFire,35.0,www.explosion.ai,"* Explosion builds developer tools for:
- Artificial Intelligence
- Machine Learning
- Natural Language Processing
- Data Annotation","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Fabius,500000.0,Y Combinator,,https://www.fabius.io/,,Audio,Data Analysis,,,,,,2020,SF Bay Area,,,,,,,
Facet,15500000.0,"Edward Lando, Gaingels, Bossanova Investimentos, Accel, South Park Commons",14.0,http://facet.ai,"* The image editing workflow, reimagined
- Discover pro grade tools powered by AI. Multiply visual directions, automate masking and selection, and collaborate with your team—all on the web. Welcome to the future of photorealism.",Image,AI-powered image editor,Applications (Horizontal),Image,Image Editing,General,Yes,2017,SF Bay Area,,,,,,,
Featureform,2000000.0,"Zetta Venture Partners, Berkeley SkyDeck Fund",,https://www.featureform.com/,,MLOps/Platform,Model development,,,,,,2019,SF Bay Area,,,,,,,
Felvin,350000.0,"Larry Braitman, Sarthak Goel",,https://felvin.com/,,Code,No code builder for generative AI applications,,,,,,2021,"New York, NY",,,,,,,
Fermat,,MK Venture Capital,,https://fermat.ws/,"* Your work, augmented
- Boost your creative side with intelligent tools on a spatial canvas.",Image,Image / Text / Content generation,Applications (Vertical),Image,Image Generation,Product Design,Yes,2018,Europe,,,,,,,
Fiddler AI,45200000.0,"Bossanova Investimentos, Insight Partners, Lightspeed Venture Partners, Lockheed Martin Ventures, Haystack",,https://www.fiddler.ai/,,MLOps/Platform,"AI Observability, Explainability for MLOps and Generative AI",,,,,,2018,SF Bay Area,,,,,,,
Flawless,,,27.0,https://www.flawlessai.com/,"* Neural network enabled filmmaking
- Using artificial intelligence, our world-first system will revolutionise the VFX and motion picture industry by unlocking content through authentic, visual translation to enable stories to be told exactly as they were intended with an immersive experience in the native language of any audience around the world",Video,Lip Synced Visualizations,Applications (Horizontal),Audio,Audio Editing & Dubbing,Media & Entertainment,Yes,2020,"London, UK",,,,,,,
Flewently,,,,https://www.flewently.com,,Chatbot/Conversational AI,Language learning,,,,,,2022,"London, UK",,,,,,,
Fliki,,,,https://fliki.ai/,,Video,Text to Video,,,,,,2021,Other US,,,,,,,
Flowful,,,,https://www.flowful.app/,,Audio,Ambient Music generation,,,,,,2021,"London, UK",,,,,,,
Flowrite,5060000.0,"Lifeline Ventures, Moonfire Ventures, Ilkka Paananen, David Helgason, Seedcamp",18.0,https://www.flowrite.com/,* Supercharge your daily communication. Flowrite turns short instructions into ready-to-send emails and messages across your browser.,Text,Email generation,Applications (Horizontal),Text,General Writing & Editing,General,Yes,2020,Europe,,,,,,,
Fluento,,,,https://www.fluento.ai/,,Text,Learning Languages,,,,,,2022,"London, UK",,,,,,,
ForceField IO,400000.0,"Lightspeed Venture Partners, Debra Messing, Christian Lyles, Evan Tripodi, Sophonia Hardaway",,https://www.theforcefield.io/,,Data,"End-to-end platform leverage blockchain and audit digital evidence for the highest levels of timeliness, provability, and court admissibility",,,,,,2021,Other US,,,,,,,
Forefront,0.0,No Data,,www.forefront.ai,"* Powerful NLP tools a click away
- Join leading teams building the next wave of world-changing applications.
- Use pre-built solutions or large language models to quickly build NLP-enabled products and workflows.","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Forethought,92000000.0,"8VC, Village Global, Collaborative Fund, New Enterprise Associates, South Park Commons",,https://forethought.ai/,,Chatbot/Conversational AI,Customer Support,,,,,,2017,SF Bay Area,,,,,,,
Foster,0.0,Y Combinator,10.0,www.foster.to,"* Make Your Writing Shine 💫
- Tap a button inside Google Docs and watch your writing transform.",General Purpose Communication Writing,,Applications (Horizontal),Text,General Writing & Editing,General,Yes,,,,,,,,,
Frase,947000.0,"Underscore VC, Bantam Group, Pedro Tortosa",,https://www.frase.io/,,Text,Content creation (SEO),,,,,,2016,Other US,,,,,,,
Fridayy,0.0,,,www.fridayy.me,"* The fastest way to buy anything online.
- Shop with a text message.",Other Consumer,,Applications (Vertical),Text,Search,E-Commerce,Yes,,,,,,,,,
Fy!,10977391.0,"500 Global, Seedrs, Hoxton Ventures, Forward Partners, Redbus Ventures",,https://www.iamfy.co/,,Image,Transforming everyones' homes with generative AI,,,,,,2014,"London, UK",,,,,,,
Galactica/Amazon,,,,https://galactica.org/,,Text,Formula to Text,,,,,,2023,Unknown,,,,,,,
Galileo,23100000.0,"Battery Ventures, FPV Ventures, Walden Catalyst, Lip-Bu Tan, Anthony Goldbloom",,https://www.rungalileo.io/,,MLOps/Platform,Model development,,,,,,2021,SF Bay Area,,,,,,,
GAN,5250000.0,"Emergent Ventures, Surge",,https://gan.ai/,,Video,Personalized videos,,,,,,2021,Other US,,,,,,,
Gantry,28300000.0,Dwight Crow,,https://gantry.io/,,MLOps/Platform,Model development,,,,,,2021,SF Bay Area,,,,,,,
Gemsouls,4000000000000.0,Qiming Venture Partners,,www.mygemsouls.com,"* 👋Meet, befriend, and create virtual characters
- On a mission to bring gem-like virtual humans to life ",Chatbots & Avatars,,Applications (Horizontal),Video,Avatars,General,Yes,,,,,,,,,
GenieLabs,,,,https://www.genielabs.tech/,,Video,3D Models/Scenes,,,,,,2022,Israel,,,,,,,
Geniverse,,,,https://geniverse.co/,"* Type your dream
- Let generative AI augment your creativity. Create impressive artworks straight from your imagination.",Image,Image generation,Applications (Horizontal),Image,Image Generation,General,Yes,2022,Europe,,,,,,,
GetAnswer,100000.0,,,https://getanswer.ai/,,Chatbot/Conversational AI,ChatGPT for the intranet,,,,,,2023,SF Bay Area,,,,,,,
GGPredict,2060000.0,"Google for Startups, ff Venture Capital, TDJ Pitango Ventures",,https://ggpredict.io/,,Game,Gaming training,,,,,,2019,Europe,,,,,,,
Ginger,11700000.0,"Horizons Ventures, Harbor Pacific Capital, Jerusalem Global Ventures",,https://www.gingersoftware.com/,,Text,Writing/Editing,,,,,,2007,Other US,,,,,,,
GitHub Copilot,350000000.0,"Thrive Capital, Andreessen Horowitz, Sequoia Capital, EquityZen, SVA",,https://github.com/features/copilot,,Code,Code Generation,,,,,,2008,SF Bay Area,,,,,,,
Glasp,500000.0,,,https://glasp.co/,,Summarization,Note summarization / annotation,,,,,,2021,SF Bay Area,,,,,,,
Glean,155000000.0,"Sequoia Capital, General Catalyst, Lightspeed Venture Partners, Kleiner Perkins, Slack Fund",200.0,https://www.glean.com/,"* Know what your company knows, instantly.
- Glean searches across all your company's apps to help you find exactly what you need and discover the things you should know.",Semantic Search,Knowledge,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,2019,SF Bay Area,,,,,,,
Glimmer AI,,,,https://glimmerai.tech/,,MLOps/Platform,Presentation generation,,,,,,2023,Other US,,,,,,,
Glimpse.ai,,,,https://www.glimpse.ai/,,Text,Natural Langauge Generation,,,,,,2020,Other US,,,,,,,
GlossAI,8000000.0,"MindCET, Maccabee Ventures, 97212 Ventures, New Era Capital Partners, Rafi Gidron",,https://glossai.co/,,Video,Automatic video highlights,,,,,,2020,Israel,,,,,,,
GoatChat,1000000.0,500 Global,,https://goatchat.ai/,,Chatbot/Conversational AI,Any AI Model accessed on Mobile,,,,,,2021,Other US,,,,,,,
GoCharlie,1262500.0,"Alchemist Accelerator, Goodwater Capital, XRC Ventures, SRI International",,https://gocharlie.ai/,,Text,Marketing content creation,,,,,,2021,SF Bay Area,,,,,,,
Gooey.ai,,"Blume Ventures, Techstars",,https://www.gooey.ai/,,MLOps/Platform,Image Generation,,,,,,2022,"Seattle, WA",,,,,,,
Grammarly,400000000.0,"General Catalyst, BlackRock, Baillie Gifford, Breyer Capital, Sozo Ventures",,https://www.grammarly.com/,,Text,Writing/Editing,,,,,,2009,SF Bay Area,,,,,,,
Gretel,67699996.0,"Village Capital, Village Global, Greylock, Section 32, Anthos Capital",48.0,https://gretel.ai/,"* The Developer Stack for Synthetic Data.
- Power AI, Data Science, Testing, Analytics and More.
- Synthetic data that’s as good, or even better than the data you have. Or don’t have. Create and share data with the best-in-class accuracy and privacy guarantees – on demand.",Data,Synthetic data generation,AI Development & Tools,,Data Management,General,Yes,2019,"San Diego, CA",,,,,,,
Growth Marketing Pro,,,,https://www.growthmarketingpro.com/,,Text,Growth Marketing / SEO Content generation,,,,,,2017,SF Bay Area,,,,,,,
Hally AI,,,,https://hally.ai/,,Text,Recruitment task admin & content generation,,,,,,2022,"London, UK",,,,,,,
Harmonai,500000.0,"Alchemist Accelerator, Emerging Ventures, IU Ventures",,https://www.harmonai.org/,,Audio,Audio generation,,,,,,2020,Other US,,,,,,,
Harvey,26000000.0,"Sequoia Capital, Elad Gil, SVA, OpenAI Startup Fund, Conviction VC",,https://harvey.ai/,AI for law firms,Legal,Legal text generation,Applications (Vertical),Text,General Writing & Editing,Legal,Yes,2022,SF Bay Area,,,,,,,
Hazy,14778644.0,"Wells Fargo, Ascension, Nationwide Building Society, M12 - Microsoft's Venture Fund, Amadeus Capital Partners",,https://hazy.com/,,Data,Finance synthetic data,,,,,,2017,"London, UK",,,,,,,
Headlime,,,,https://headlime.com/,,Text,Marketing copywriting,,,,,,2020,Europe,,,,,,,
Hebbia,31100000.0,"Index Ventures, Peter Thiel, Radical Ventures, Naval Ravikant, Abstract Ventures",,hebbia.ai,,Semantic Search,Personal AI Analyst,,,,,,2020,"New York, NY",,,,,,,
Hebbia.ai,28100000000000.0,"Chih-Yuan Yang,Cory Levy,Floodgate Fund,Human Capital,Index Ventures,Kevin Hartz,Michael Fertik,Naval Ravikant,Peter Thiel,Radical Ventures,Ram Shriram",15.0,www.hebbia.ai,"* Search, reinvented.
- Make decisions 10X more confidently and quickly with AI-powered insights.",Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Here Be Taverns,,,,https://www.herebetaverns.com/,,Game,Gaming world generation,,,,,,2023,Unknown,,,,,,,
Hexo,270000.0,Antler India,,https://hexo.ai/,,Image,Custom image generation,,,,,,2022,APAC,,,,,,,
HeyGen,9000000.0,"Sequoia Capital China, IDG Capital, Baidu Ventures",,https://www.heygen.com/,,Video,Text to Video,,,,,,2022,"Los Angeles, CA",,,,,,,
hi4.ai,,,,https://hi4.ai/,,Classification,Data labeling/tagging,,,,,,2020,Israel,,,,,,,
HIPSTO,3000000.0,,,https://hipsto.ai/,,Text,AI Knowledge Discovery Platform,,,,,,2017,Europe,,,,,,,
Hour One,25000000.0,"Insight Partners, Intel Ignite, Remagine Ventures, Digital Horizon, Galaxy Interactive",29.0,https://hourone.ai/,"* We turn text into video, featuring virtual humans, automatically. 
- Humanize your content at scale. Boost your content creation by converting text into highly engaging videos within minutes.",Video,Text to Video,Applications (Horizontal),Video,Avatars,General,Yes,2019,Israel,,,,,,,
Hugging Face,160200000.0,"Sequoia Capital, Betaworks, Coatue, SVA, Charles Zedlewski",,https://huggingface.co/,,MLOps/Platform,ML Models,,,,,,2016,"New York, NY",,,,,,,
