Company Name,Category,Description,Capital Raised ($M),Active Investors,Headcount,URL
Modyfi,"AI Editing for Video, Photos, and Audio","* Create. Together.
- The image editor you've always wanted. AI-powered creative tools in your browser. Real-time collaboration. All your assets in one place.",,Service Provider Capital,10,www.modyfi.io
Monterey,Vertical,"* Copilot for Product Development
- Don't write another Product Requirement Document that your team will ignore anyway. Define, design, and deliver with Monterey.",,Y Combinator,3,www.monterey.ai
Munch,Content Repurposing,"* Go Viral Using Your Existing Content. Automatically.
- Munch allows you to create once. Repurpose to Dozens of pieces on every platform. Analyze engagement. Control Monetization. All On One Platform.",,,6,www.mnch.co
Murf.Ai,Synthetic Voices & Dubbing,"* Go from text to speech with a versatile AI voice generator
- AI enabled, real people's voices
- Make studio-quality voice overs in minutes. Use Murf’s lifelike AI voices for podcasts, videos, and all your professional presentations",$11.5,"Ajay Arora,Ankit Bhati,Ashish Goel,Ashwini Ashokan,Elevation Capital,Kashyap Deorahe,Matrix Partners India,Pushkar Mukevar,Sanjeev Barnwal,Vidit Aatrey,Yamini Bhat",31,www.murf.ai
Mutable.ai,"MLOps, Infra, & DevTools","- Build fast with production quality using AI
* AI Accelerated Software Development",,No Data,,www.Mutable.ai
Nabla,Vertical,"* Digital care. Superpowered.
- Build engaging relationships with your patients through our machine learning-powered care platform.",$22.7,"Firstminute Capital,Julie Pellet,Julien Codorniou,Marc Simoncini,Paris Business Angels,Rachel Delacour,Xavier Niel,Yann LeCun",54,www.nabla.com
Native Chats,Translation,"* Native - your partner for seamless communication across languages
- Native empowers everyone–vendors, customers, employees–to connect and communicate more effectively with our AI-enabled, real-time messaging and translation platform. With language barriers out of the way, people form deeper connections and business flows more efficiently. And that’s better for everyone’s bottom line.",,,23,www.nativechats.com
Needl,Vector Search,"* One app to search them all
- Spend less time searching, and more time [X]",$3.0,"Collin Wallace,Fuse (Seattle),Liquid 2 Ventures,Nathan Wenzel,Palm Drive Capital,Y Combinator",3,www.needl.tech
Nuclia,Vector Search,"* The API to make the unsearchable, searchable.
- Build and optimized search-experience using the low-code Nuclia search engine API to get multi-language semantic results, specific paragraphs, text or relations. ",$5.9,"Crane Venture Partners,Elaia Partners",11,nuclia.com
Oliv,Sales Coaching,"* Clone your best sellers in no time 
- Oliv learns winning practices from recorded sales conversations, guides sellers to shine in every meeting and helps managers monitor sales process adoption.",$1.2,"Foundation Capital,Spider Capital,Startup School",6,www.oliv.ai
Omneky,Ad Generation & Brand Building,"* Grow Sales with AI-Powered Creative
- Show the perfect ad tailored for each customer with state-of-the-art deep learning.",$2.5,"Alloy Fund,Brianne Kimmel,Charlie Feng,Craig Kostelic,Deepcore,Eric Kohlmann,Gene Farrell,Hyphen Capital (San Francisco),John Donovan,Plug and Play Tech Center,Richard Socher,Tien Tzuo,Village Global",49,www.omneky.com
One AI,Foundation Model Providers,"* Embed language in your product
- One AI is an API-first, language AI service built for developers. Embed our API to analyze, process, and transform text in your project",$11.6,"Ariel Maislos,TechAviv Founder Partners,Tomer Wiengarten",22,www.oneai.com
OnLoop,HR,"* It’s time for collaborative team development that adds up
- A radical new way to effectively drive the progress and growth of your hybrid team",$5.5,"Alex Dwek,Aliza Knox,Allen Penn,Andrew Macdonald,Bambos Kaisharis,Brooks Entwistle,Eddie Lee,Hustle Fund,John Candeto,Keshav Lall,MassMutual Ventures,Robert Hoyt,Square Peg Capital,XA Network",22,www.onloop.com
Operand,Knowledge Bases / Vector Search Apps,"* A personal search engine for everyone.
- A Chrome extension which indexes everything you read online. Never miss anything important again.",,No Data,,www.operand.ai
Orby,Task Automation & Virtual Assistant,"* AI that saves you time
- 60% of jobs have at least 30% of the work that is repetitive and automatable. Orby AI observes and learns from users’ day to day work and automatically creates the scripts to automate both rules based tasks and more complex tasks that require AI and ML.",$68.5,"Anthony Goldbloom,Brian Granger,Dragomir Anguelov,Eitan Pilipski,Fernando De la Torre,Gal Chechik,Lihi Zelnik-Manor,Manuel Bronstein,Michael Black,Operator Partners,Raghu Hiremagalur,Scale Venture Partners,Spider Capital,TLV Partners,Trevor Darrell,Vantage Equities,Vintage Investment Partners,Viola Growth,Viola Ventures,Yossi Matias",122,www.datagen.tech
Osmosis.studio,Ad Generation & Brand Building,A web-based content-aware design tool for generating AI ads that sell real products,,No Data,,www.Osmosis.studio
OthersideAI,General Purpose Communication Writing,* Reimagining writing. We create technology to help the world communicate more effectively.,$2.6,"Active Capital,Alpha Bridge Ventures,Chapter One Ventures,Hustle Fund,Incisive Ventures,Madrona Venture Group,New York Venture Partners",7,www.othersideai.com
PaperCup,Synthetic Voices & Dubbing,"* AI-powered Dubbing. 
- Discover faster, more affordable, automated video localization and go global with your existing video content.",$44.5,"Alexander Shelkovnikov,Bertelsmann Digital Media Investments,Christopher Mairs,Des Traynor,Entrepreneur First,GMG Ventures,Government of UK,Innovate UK,John Collison,Michael Orland,Octopus Ventures,Phoenix Court,Sands Capital,Sky Startup Investments & Partnerships,Toby Moore,William Tunstall-Pedoe,Zoubin Ghahramani",103,www.papercup.com
Patent Blast,Vertical,"* An automated patent drafting software 
- Helps patent professionals generate high-quality specification and drawings based on manually drafted claims.",,No Data,,https://patentblast.com/
PatentPal,Vertical,"* Generative AI for Intellectual Property
- Automate mechanical writing in your patent applications",$0.3,Foothill Ventures,4,www.patentpal.com
Peech,"AI Editing for Video, Photos, and Audio","* Turning content teams into unstoppable creators.
- Automatically create, transcribe, collaborate, optimize and publish content - all in one place.",$14.3,"Ariel Maislos,Avishag Bohbot,Avishai Bitton,Cardumen Capital,Fresh.Fund,Ibex Investors,Nuseir Yassin",27,www.peech-ai.com
Pencil,Ad Generation & Brand Building,"* The easiest way to get winning ad creative.
- Fast-growing ecommerce brands use Pencil to get 2x better ad results at 10x less time and cost.",$1.1,"Entrepreneur First,Infocomm Media Development Authority,Min-Yen Kan,Sequoia Capital,SGInnovate,Surge (Accelerator),The Unilever Foundry,Wavemaker Partners,XA Network",32,www.trypencil.com
Pepper Content,Content Marketplaces,"* Scale your content needs. Fast.
- Pepper is the one-stop platform that handles everything from content ideation to delivery. Just enter your requirements and we'll make it happen with our team of 1,00,000+ content creators.",$18.9,"Aakrit Vaish,Abhinav Sinha,Akhil Paul,Alok Mittal,Amit Ranjan,AngelList,Ankur Nagpal,Aroa Ventures,Ashish Gupta,Balaji Srinivasan,Beerud Sheth,Bessemer Venture Partners,Dheeraj Pandey,Dilipkumar Khandelwal,Gaurav Mandlecha,Gaurav Munjal,Gokul Rajaram,GTMFund,Hemanshu Jain,iSeed (India),Kunal Bahl,Kunal Shah,Lightspeed India Partners,Manan Maheshwari,Miten Sampat,Ritesh Agarwal,Ritesh Malik,Rohit Bansal,Sanjay Tripathy,Saurabh Srivastava,Shradha Sharma,Sidharth Rao,Tanglin Venture Partners,Titan Capital,Utsav Somani",995,www.peppercontent.io
Photoroom,"AI Editing for Video, Photos, and Audio",* Remove background automatically and create professional images.,$21.4,"Adjacent Venture Capital,Balderton Capital,Eric Setton,FJ Labs,Francescu Santoni,François Lagunas,Holger Seim,Jacob Eiting,Jean Patry,John Bonten,Kima Ventures,Liquid 2 Ventures,Nicolas Pinto,Nicolas Steegmann,Uncommon Projects,Y Combinator,Yann LeCun,Zehan Wang",20,www.photoroom.com
Pictory,Content Repurposing,"* Video Marketing Made EASY
- Automatically create short, highly-sharable branded videos from your long form content.",$2.1,"Fuse (Seattle),Voyager Capital",10,pictory.ai
Pinecone,Vector Search,"* Search like you mean it
- The Pinecone vector database makes it easy to build high-performance vector search applications. Developer-friendly, fully managed, and easily scalable without infrastructure hassles.",$38.0,"Bucky Moore,Gaurav Gupta,Llana Stern,Menlo Ventures,Paul Hsiao,Robert Muglia,Sebastian Gunningham,Tiger Global Management,Will Hayes,William Freiberg,Wing Venture Capital",57,www.pinecone.io
Play.ht,Synthetic Voices & Dubbing,"* AI powered text to voice generation
- Generate realistic Text to Speech (TTS) audio using online AI Voice Generator and best synthetic voices. Instantly convert text in to natural-sounding speech and download as MP3 and WAV audio files.",,No Data,,play.ht
Poly,Design Tools,"* Generate Textures in Seconds with AI
- Create unlimited high-resolution, fully-custom, commercially-licensed textures with just a text prompt.",,Y Combinator,3,www.withpoly.com
PolyAI,Voicebot,"* Superhuman Voice Assistants
- Answer every call immediately, 24/7.
- No agents needed.",$112.3,"Amadeus Capital Partners,Christopher Mairs,Entrepreneur First,Georgian,Hangar 51,Khosla Ventures,L Marks,Nathan Benaich,Passion Capital,Plug and Play Tech Center,Point72 Ventures,Sands Capital,Steve Crossan,Twilio Ventures",105,www.poly.ai
PR Guy,Ad Generation & Brand Building,"* PR Guy: a new PR tool for startups who need publicity,
- ...but are not ready to hire a PR agency yet. ",,,,www.prguy.io
Pragma,Contact Center,"* Knowledge created for you. Right when you need it.
- Centralize knowledge from across your organization with a single plug-in, ensuring alignment and giving instant support to client-facing teams.",,No Data,,www.pragma.ai
Primer,Vertical,"* Primer lets organizations quickly explore and utilize the world’s exponentially growing sources of text-based information. 
- Our best-in-class machine intelligence solutions help you answer complex questions in real time with human-level precision.",$167.8,"Addition,AIM13 CV Partners,AME Cloud Ventures,Amplify Partners,Avalon Ventures,Bloomberg Beta,Crosslink Capital,Crumpton Ventures,DCVC,In-Q-Tel,J2 Ventures,Lux Capital,Mubadala Capital-Ventures,Sands Capital,Section 32,STEADFAST Capital Ventures,United States Department of Defense",182,www.primer.ai
Pygma,Figma to Code,"* Turn Figma designs into high-quality code
- Pygma generates the quality of code that you’d expect from a professional developer - readable and true to the design.",,No Data,,www.pygma.app
Qdrant,Vector Search,"* Open source neural search engine
- Make the most of your Unstructured Data
- Qdrant is a vector similarity engine. It deploys as an API service providing search for the nearest high-dimensional vectors.
With Qdrant, embeddings or neural network encoders can be turned into full-fledged applications for matching, searching, recommending, and much more!",$2.0,"42CAP,IBB Ventures,Mücke Roth & Company",15,www.qdrant.tech
QuickChat,"MLOps, Infra, & DevTools",* Technology to build AI Assistants that talk like a human,,No Data,,https://www.quickchat.ai/
Reach,Sales Tools,* The fastest way for sales reps to personalize their cold emails at scale,,No Data,,https://www.magicreach.ai/
Recut,Synthetic Talking Heads,"* Recut
- Unlimited personalized content - no extra takes needed",,No Data,,www.getrecut.io
Reduct.Video,"AI Editing for Video, Photos, and Audio","* Where your team and video work together
- Reduct is a collaborative transcript-based video platform where everyone can review, search, highlight and edit video, as easily as text.",$8.8,"6ixth Event,Armando Mann,Dylan Field,Elad Gil,Greylock Partners,Joshua Rosenthal,Pascal Levy-Garboua,Pear,South Park Commons",13,www.reduct.video
Regie.ai,Sales Tools,"The AI Content Platform for Modern Revenue Teams. Regie helps sales, marketing, and success teams write engaging content faster using AI",$14.8,"Day One Ventures,Foundation Capital,Scale Venture Partners,South Park Commons",46,www.regie.ai
Rephrase.ai,Chatbots & Avatars,"* Humanize communication with digital avatars
- Create hyper-personalized videos at scale that drive engagement and business efficiencies with Rephrase AI.",$12.3,"8VC,AV8 Ventures,Lightspeed India Partners,Lightspeed Venture Partners,Lowe's Innovation Labs,Marsshot Ventures,Red Ventures,Silver Lake,Techstars",43,www.rephrase.ai
Replica Studios,Synthetic Voices & Dubbing,"* AI voice actors for games, film & the metaverse",$5.5,"Carthona Capital,Flying Fox Ventures,Mawson,Techstars,The Venture Reality Fund",18,www.replicastudios.com
Replicant,Voicebot,"* The Leader in Contact Center Automation
- Fully automate and resolve tier 1 customer service issues over the phone and other channels. Your customers never wait and your live agents are always available.",$113.0,"Alumni Ventures,Atomic Labs,Bloomberg Beta,Costanoa Ventures,IRONGREY,Norwest Venture Partners,Omega Venture Partners,Salesforce Ventures,State Farm Ventures,Stripes",141,www.replicant.com
Replika,Chatbots & Avatars,"The AI companion who cares
* Always here to listen and talk.
- Always on your side",$11.2,"ACME Capital,All Turtles,Friendly Hill Capital,Justin Waldron,Khosla Ventures,Ludlow Ventures,Philip Libin,Richard Socher,Shervin Pishevar,Y Combinator,Zillionize",35,www.replika.ai
Replit,"Generation for Code, Terminal, and Querying","* Code, create, and learn together
- Use our free, collaborative, in-browser IDE to code in 50+ languages — without spending a second on setup.",$104.6,"A Capital Inn,A.Capital Ventures,A16z Cultural Leadership Fund,Adam D'Angelo,Addition,Amino Capital,Andreessen Horowitz,Andrew Sutherland,Ankur Nagpal,Anthony Pompliano,Austen Allred,Benjamin Darnell,Bloomberg Beta,Coatue Management,Dave Lee,Domagoj Babic,Fadi Ghandour,Fahd Ananta,Fifth Down Capital,Gagan Biyani,Greg Brockman,Henrique Debugras,Mattia Astori,Mission and Market,Not Boring Capital,Olivier Pomel,Paul Graham,Peter Thiel,Reach Capital,Roach Capital,Scott Schleifer,Shaan Puri,Shaikh Khalid Bin Mansour Bin Ahmed Bin Ali Althani,Soleio Cuervo,South Park Commons,Vinay Hiremath,Vlad Tenev,Volt Capital,Y Combinator,Zachary Sims",102,www.replit.com
Resemble AI,Synthetic Voices & Dubbing,"* AI Voice Generator that sounds real.
- Resemble AI supercharges your AI voice with a text-to-speech AI voice generator and real-time APIs to build immersive experiences.",$2.2,"Akatsuki Entertainment Technology Fund,Betaworks Ventures,Canaan Partners,Craft Ventures,Firstminute Capital,GMG Ventures,LoftyInc Capital Management,Mango.vc,Ubiquity Ventures",16,www.resemble.ai
ReSpeecher,Synthetic Voices & Dubbing,"* Voice Cloning for Content Creators
- Create speech that's indistinguishable from the original speaker. Perfect for filmmakers, game developers, and other content creators",$1.6,"Acrobator Ventures,Activat,Cathexis Ventures,Chris Adelsbach,Comcast Ventures,ff Venture Capital,ICU,Network VC,Rostyslav Futalo,Techstars,Vlad Ionescu,Yuriy Kostiv",36,www.respeecher.com
Rime Labs,Synthetic Voices & Dubbing,"* Taking speech technology from limited to limitless
- Deep learning meets deep linguistic expertise to develop the world’s premier speech products.",,No Data,,https://Rime.ai
Rosebud,Other Consumer,"* AI Generated Visuals
- We make it easy for you to get the exact visual you need.",$9.0,"Amplify Partners,Animoca Brands,Ankur Goyal,Balaji Srinivasan,Chris Messina,Essence Venture Capital,Foothill Ventures,Holly Liu,Ilya Sutskever,Jake Klamka,JUMP Investors,Kevin Lin,Khosla Ventures,Kun Gao,L'Oréal USA,Lux Capital,Peter Chen,Samuel Teller,Sfermion,Soma Capital,Timothy Chen,Valor Equity Partners,Y Combinator",12,www.rosebud.ai
RunwayML,"AI Editing for Video, Photos, and Audio","* The video editor you've been waiting for, finally.
- From basic editing to advanced post-processing, Runway is like having your own video production studio right inside your browser.",$43.5,"Amplify Partners,Amplify.LA,Bienville Capital,Coatue Management,Compound,Lux Capital",40,www.runwayml.com
Rytr,Generation for Copywriters & SMB Marketers,"* A better, 10x faster way to write
- Rytr is an AI writing assistant that helps you create high-quality content, in just a few seconds, at a fraction of the cost!",,,3,www.rytr.me
Sapling Intelligence,Contact Center,* Sapling Suggest recommends chat responses across messaging platforms.,$0.2,Y Combinator,2,www.sapling.ai
Sayso,Accent Modulation & Voice Augmentation,"* Understand accents better with accent-modulating software
- Our mission is to help English speakers around the world understand each other with ease, work productively and grow human connection.
- Sayso is a real-time accent modulating software. Built by a hard-tech startup pushing boundaries in audio science, AI and online collaboration.",$0.2,Rackhouse Venture Capital,7,www.sayso.ai
Second Nature,Sales Coaching,"* Scale up your sales coaching with bite-sized, realistic, AI-driven role plays, immediate feedback, scoring and an amazing experience.",$15.5,"Cardumen Capital,Signals Venture Capital,StageOne Ventures,Zoom Video Communications",26,www.secondnature.ai
SHO,Ad Generation & Brand Building,"* Build your brand with the power of AI
- SHO is the only platform that helps brands tap into the power of AI to create truly unique experiences.",$1.1,"Center on Rural Innovation,Jay Bockhaus,Valor Ventures",14,www.sho.ai
Simplified,Generation for Copywriters & SMB Marketers,"* Design, Write, Edit videos, and Publish Content. Built For Teams.
* One App For Modern...
- Graphic Designers
- Copy Writers
- Video Makers
- Social Media Marketers
- Marketing Teams",$10.7,"8-Bit Capital,Ajay Yadav,Ankur Nagpal,Craft Ventures,Earl Grey Capital,Form Capital,Form Capitall,Gaingels,GFR Fund,Khosla Ventures,Mads Johnsen,Manik Gupta,MyAsiaVC,Rahul Vohra,Todd Goldberg,Uncorrelated Ventures,Wing Venture Capital",50,www.simplified.co
Skit,Voicebot,"* The Skit Augmented Voice Intelligence Platform
- Contact Center Modernization. Augmented by Voice AI.",$36.8,"Aaryaman Shah,Amit Ghorawat,AngelList,Ankit Gupta,Appyhigh Technology,Exfinity Venture Partners,Indian Angel Network,Kalaari Capital,Kishore Ganji,LetsVenture Online,Rahul Aggarwal,SenseAI Ventures,SRI Capital,Veda Venture Capital,WestBridge Capital Partners",384,www.skit.ai
SliceX AI,"MLOps, Infra, & DevTools","* Making next-generation AI universally accessible across Cloud & Edge devices, use-cases and verticals.
- An innovative ML platform enabling anyone to generate, analyze, classify, reason, answer and embed content for applications across different verticals.",$4.0,,6,www.slicex.ai
SmartWriter,Sales Tools,"* Generate 1000s of Personalised Emails that get you 8x more replies within minutes using AI
- Never waste time researching or writing 'personalised' emails again. Automate your entire outreach process. 40x faster and 6x cheaper than humans.",,No Data,,https://www.smartwriter.ai/
Solace Vision,Design Tools,"* A 3D creation tool powered by AI and natural language
- Solace Vision gives you the power to create virtual objects in minutes using your text input.",$0.0,Techstars,4,www.solacevision.com
Sonantic,Synthetic Voices & Dubbing,"* AI Voices: Stunning realism. Capitvating Emotion.
- Deliver compelling, lifelike performances with fully expressive AI-generated voices.",$2.6,,12,www.sonantic.io
Soniox,Synthetic Voices & Dubbing,"* Groundbreaking Speaker AI
- Speaker Diarization: Auto-detects ""who said what"" with 96% accuracy. 5x more accurate than Google, Amazon and Microsoft
- Speaker Identification. Determines speaker identities",,,,www.soniox.com
SonnetAI,Sales Tools,"* Personalized outbound at scale.
- Sonnet generates cold emails that are written from scratch for each prospect.",$0.5,Y Combinator,3,www.sonnetai.com
Soundraw,Music,"* Freely customize high-quality, royalty-free music.
- Soundraw is a music generator for creators. Select the type of music you want - genre, instruments, mood, length, etc - and let our AI generate beautiful songs for you.",$2.2,"ANOBAKA,Atsushi Fukuda,Ceres (Japan),Deepcore,iSG Investment Works,Jun Fukuda,Kazuomi Kaneto,Masaru Sunagawa,Mint (Tokyo),Shuhei Yamashita,SMBC Venture Capital",,soundraw.io
Spiritt,Build Apps from Text Interface,"* Build A Gorgeous App By Only Describing It
- SPIRITT is a human-assisted AI platform that lets you build complex apps like Airbnb, Instagram, Pinterest, and many more without any tech skills needed, With an affordable monthly price.",$9.5,"Disruptive AI,Izhar Shay,Silicon Valley Bank",,www.spiritt.io
Splash,Music,"* Create your sound
- Join the next generation of music producers on SplashHQ",$23.6,"Amazon Alexa Fund,BITKRAFT Ventures,Khosla Ventures,King River Capital,Mawson,Techstars",103,www.splashhq.com
Stability,Foundation Model Providers,"* AI by the people, for the people
- Designing and implementing solutions using collective intelligence and augmented technology
- Stability AI is building open AI tools that will let us reach our potential.",$111.0,"Coatue Management,Fourth Revolution Capital,Lightspeed Venture Partners,Mantis VC,O'Shaughnessy Asset Management",100,www.stability.ai
Stenography,Documentation Writing,* Finally. Automatic Documentation.,,No Data,,www.stenography.dev
Storytime,Tools for Artists,*An app for making and sharing animated shorts,,"SciFi VC,South Park Commons",4,www.storytime.land
SudoWrite,Tools for Artists,* Bust writer’s block with our magical writing AI.,$3.0,"500 Global,Andrew Weissman,Caffeinated Capital,Daniel Ha,Evan Williams,Garuda,George Nolfi,Gustaf Alstromer,Human Ventures,John August,Justin Choi,Kevin Lacker,Matthew Mullenweg,Naveen Selvadurai,Om Malik,Patrick Lee,Rob LaFave,Sahil Lavingia,Scott Belsky",4,www.sudowrite.com
Supercreator,Content Repurposing,"* Turn yourself into a supercreator!
- Create short form videos 10x faster using artificial intelligence",,No Data,,www.supercreator.ai/
Synthesia,Synthetic Talking Heads,"* Create AI videos at scale in 60 languages
- Synthesia is a web-based platform for creating videos with AI avatars. Thousands of companies use it to create professional videos at scale, 80% faster than before.",$65.5,"Christian Bach,FirstMark Capital,GV,Innovate UK,Kleiner Perkins,LDV Capital,Mark Cuban,Martin Varsavsky,Michael Buckley,MMC Ventures,Nigel Morris,Philipp Moehring,Radical Investments,Seedcamp,Taavet Hinrikus,Tiny.VC,VAS Ventures",125,www.synthesia.io
Synthesis.ai,Training Data,"* Better Models Deployed Faster With Synthetic Data
- A synthetic data platform for ML engineers providing perfectly labeled, diverse, and photorealistic images and videos.",$25.1,"468 Capital,Alumni Ventures,Bee Partners,Boom Capital Ventures,iRobot Ventures,Kubera Venture Capital,Leta Capital,PJC,Sorenson Ventures,Swift Ventures",29,www.synthesis.ai
Syntheticus,Training Data,"* Search the Internet with help from a smart AI assistant
- Input your private data, and our engine turns it into shareable synthetic data.",,,4,www.syntheticus.ai
Tabnine,"Generation for Code, Terminal, and Querying","* AI Assistant For Software Developers
- Code Faster With Whole-Line & Full-Function Code Completions",$30.1,"Arie Yahav,Bob Pasker,Fred Bosch,Headline Ventures,Hetz Ventures,Khosla Ventures,LIP Ventures Boutique,OurCrowd,Qualcomm Ventures,Samsung NEXT Ventures,Technion Israel Institute of Technology,TPY Capital",48,https://www.tabnine.com/
Tavus,Synthetic Talking Heads,"* Record One Video, We'll Handle The Next Thousand.
- Transform how you build relationships with Tavus. Record once and watch as our AI automatically generates personalized videos in one click. Ready to unlock the power of video and see 5x conversions?",$4.4,"Browder Capital,Mantis VC,SaxeCap,Sequoia Capital,Y Combinator,Zillionize",10,www.tavus.io
Tenyx,Contact Center,* Tenyx is developing the next generation of intelligent machines based on propriertary neuroscience-inspired AI technology,$15.0,"AME Cloud Ventures,Cota Capital,Morado Ventures,Natural Bridge Fund,Pathbreaker Ventures,Point72 Ventures,StageOne Ventures",10,www.tenyx.com
Textio,HR,"* End hidden bias, literally.
- Textio has developed the world’s most advanced workplace language guidance, so you can see where social bias is hiding—and know exactly how to fix it. Now available for both recruiting and performance feedback!",$42.5,"Bloomberg Beta,Cowboy Ventures,Emergence Capital Partners,Industry Ventures,Operator Collective,Scale Venture Partners,Upside Partnership",139,www.textio.com
The Keys,Other Consumer,* Better connection starts with a single message,$2.3,"Asymmetry Ventures,Cassis & Cassis Capital,Corner3,Datapower Ventures,DayDreams Ventures,DCA Asset Management,FirstMile Ventures,Kickstart Seed Fund,Moontide Capital,Service Provider Capital,Techstars,The Fund",23,www.thekeys.ai
The.com,Website Builder,"* Your website is too small.
- Expand your share of the web, automatically.",$5.4,"Bill Mushkin,Chad McDaniel,Darren Kelly,Harry Stebbings,LDR Ventures,NFX,Sound Ventures,Southern Sun Angel Capital,Village Global,VSC Ventures",13,www.the.com
Timely,Task Automation & Virtual Assistant,"* Scheduling has never been this simple
- You want your work to flow smoothly. But managing appointments can be a lot of work. With timelyAI you can organize your entire schedule via WhatsApp — it’s as easy as texting with a friend",$2.8,,9,www.timelyai.com
Twain,Sales Tools,"* Write emails that get answers
- Twain is the AI communication assistant for outreach",$2.7,"Calm/Storm Ventures,Foreword,Sequoia Arc,System.One,Tarek Müller,TQ Ventures",20,www.usetwain.com
Tymely,Contact Center,"* Astonish Your Customers With Outstanding Customer Service
- Finally, an AI for eCommerce customer support emails that works with human-level accuracy.",$7.0,"97212 Ventures,DESCOvery group,Hetz Ventures",,www.tymely.ai
Typewise,Contact Center,"Communicate faster & more effectively
AI writing solution for customer service & sales teams",$4.9,"EuroUS Ventures,Innosuisse,North West Quadrant Ventures,Rebel Fund,StartAngels Network,Swiss ICT Investor Club,TR Invest (Switzerland),Y Combinator,Ziano Ventures",20,www.typewise.app
Unscrambl,Business Intelligence,* Teams can now get conversational access to to data and insights,$2.1,"gener8tor,Mosaik Partners,OnRamp Insurance Accelerator,Right Side Capital Management",51,www.unscrambl.com
Unstructured.ai,"MLOps, Infra, & DevTools",NA,,No Data,,www.unstructured.ai
Vectara,Vector Search,"* The AI-powered platform for search.
- Harness the power of advanced neural networks to search your textual data with unrivaled accuracy. All with simple, scalable APIs and zero maintenance.",$20.0,"BECO Capital,Brighter Capital,Essence Venture Capital,Feld Ventures,Green Sands Equity,GTM Capital,MDSV Capital,NKM Capital,OODA Ventures,Raed Ventures,Spark Labs,Sparq Capital (United States),Transform VC,Vertex Ventures US",14,www.vectara.com
Vespa,Vector Search,"* Big Data. AI. Online.
- Make AI-driven decisions using your data, in real time. At any scale, with unbeatable performance.",,,,www.vespa.ai
Viable,Voice of the Customer Analysis,"* Don't just organize your feedback, understand it.
- Get customer insights tailored to your C-suite, product, CX, or UX research teams, backed by your customer feedback data.",$11.0,"10X Capital,Behind Genius Ventures,Chapter One Ventures,Craft Ventures,GTMFund,irrvrntVC,Javelin Venture Partners,Merus Capital,Noveus Capital,Rahul Vohra,Samvit Ramadurgam,Scott Belsky,Stratminds VC,Streamlined Ventures,Tempo Ventures,Todd Goldberg,Work Life Ventures",19,www.askviable.com
Vizcom,Design Tools,* AI creative tool assisting professional artists and designers in bringing their ideas to life,,,3,www.vizcom.co
Voicemod,Accent Modulation & Voice Augmentation,"* Free Real-Time Voice Changer
- Express yourself with our real-time AI Voice Changer and soundboard to be who you want, when you want in the metaverse. Build your sonic identity for platforms like Roblox, OBS, VRChat, Discord, and more. ",$8.0,"BITKRAFT Ventures,Demium,Demium Capital,Wayra",55,www.voicemod.net
Vue.ai,Product Display,"[AUTOMATED ON-MODEL IMAGERY TOOL]
* Simplify how you create on-model product photos
- Vue.ai helps fashion retailers create high-quality on-model product photos without the hassle of elaborate photoshoots.",$47.0,"Abishek Surendran,AIRI Capital,Alpha Wave Global,Array Ventures,Deepak Pulakurthi,Exfinity Venture Partners,Global Brain,growX Ventures,KDDI Ventures Program,rocketship.vc,Sequoia Capital India",306,www.madstreetden.com
wavel.ai,Synthetic Voices & Dubbing,"* Your AI editor for Videos
- Multi diverse organizations use Wavel’s localization solutions to scale content 3x better and win more customers.",$0.1,Entrepreneur First,,www.wavel.ai
Weaviate,Vector Search,"* Weaviate • Vector Search Engine
- Weaviate is an open source vector search engine that stores both objects and vectors, allowing for combining vector search with structured filtering with the fault-tolerance and scalability of a cloud-native database, all accessible through GraphQL, REST, and various language clients.",$17.6,"Cortical Ventures,ING Ventures,New Enterprise Associates,Scale Asia Ventures,Zetta Venture Partners",11,www.semi.technology
WellSaid,Synthetic Voices & Dubbing,"* Convert text to voice in real time
- With WellSaid, you and your team can create voiceover for all your digital content. All it takes is one click.",$12.1,"AI2 Incubator,Fuse (Seattle),Good Friends,Qualcomm Ventures,Voyager Capital",50,www.wellsaidlabs.com
Windsor,Synthetic Talking Heads,"* Send a personal video to every single customer so they never forget your brand
- Record one video and Windsor's AI sends out millions of personalized copies to your customers.",$2.8,"Afore Capital,Andrew Wilkinson,Leyden Ventures,Louis Beryl,Packy McCormick,Polymath Capital Partners,Precursor Ventures,Shrug Capital,Siqi Chen,Soleio Cuervo,Tiny Capital,Y Combinator",9,www.windsor.io
Woebot,Chatbots & Avatars,* Your mental health ally,$139.4,"10X Capital,AI Fund,Alumni Ventures,BlackRock Private Equity Partners,Calm Ventures,Gaingels,JAZZ Venture Partners,Kicker Ventures,Leaps by Bayer,Mirae Asset Capital,New Enterprise Associates,Owl Ventures,Plug and Play Tech Center,Social Discovery Ventures,Temasek Holdings,What If Ventures",119,www.woebothealth.com
Wombo,Other Consumer,* High quality artwork in seconds,$6.0,"10X Capital,305 Ventures,Anton Bernstein,Aria Emiko (Investment),Ashley Flucas,Brian Kim,dog poop ventures,FJ Labs,Gregory Walfish,Highfield Capital,Jeffery Brown,John-Paul Gallo,Ken Morimoto,Kube VC,Kubera Venture Capital,L&R Holding,Meadow Street Capital,Michael Melikian,SciFi VC,Shervin Pishevar,Sound Ventures,Sunny Jaisinghani,Zac Stern,Zaidur Rahman",38,www.wombo.ai
