Company Name,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,
Compose AI,"$2,200,000 ","Craft Ventures,Root and Shoot Ventures,Underdog Labs,Y Combinator",4,www.compose.ai,"* Write Faster With AI, Save Time
- Compose AI is a free Chrome extension that cuts your writing time by 40% with AI-powered autocompletion",General Purpose Communication Writing,,Applications (Horizontal),Text,General Writing & Editing,General,Yes,,,,,,,,,
Compose AI,"$2,100,000","Y Combinator, Craft Ventures, Root and Shoot Ventures",,https://www.compose.ai/,,Text,Writing (automated),,,,,,,SF Bay Area,,,,,,,
Consensus,"$4,200,000","Alumni Ventures, Draper Associates, Winklevoss Capital, Brian Pokorny, Nomad Capital",,https://consensus.app/,,Semantic Search,Scientific Search / data organization,,,,,,,Other US,,,,,,,
Consizely,,,,https://consizely.com/,,Summarization,Summarization,,,,,,,SF Bay Area,,,,,,,
Contenda,$0 ,"Basis Set Ventures,Cassidy Williams,Contrary Capital,Eliot Horowitz,Jim O'Neill,Rough Draft Ventures,Scribble Ventures",9,www.contenda.co,"* Create the content your audience wants, from content you've already made
- Contenda contextually identifies your content's key topics and spins it into the right format for your audience to discover.",Content Repurposing,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Contenda,,,,https://contenda.co/,,Text,Marketing content creation,,,,,,,Other US,,,,,,,
Contentbot.ai,$0 ,LianLian Pay,,www.contentbot.ai,"* The Future of Writing is Here
- Use the world's most advanced AI Writer.
- Blog content, paraphrasing, ad copy, and so much more",Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
ContentBot.ai,,LianLian Pay,,https://contentbot.ai/,,Text,Marketing content creation,,,,,,,"Miami, FL",,,,,,,
Contentelly,,,,https://contentelly.com/,,Summarization,Blog post generation from news,,,,,,,Europe,,,,,,,
Contents,"$8,023,701","Fabio Cannavale, Synergo Capital, Alberto Chalon, Jacopo Paoletti",,https://www.contents.com/,,MLOps/Platform,Content creation platform,,,,,,,Europe,,,,,,,
Contlo,"$4,300,000","Titan Capital, Better Capital, Varun Alagh, Kae Capital, Harshil Mathur",,https://contlo.com/,,Text,E-commerce Marketing,,,,,,,Other US,,,,,,,
Conto,,,,https://www.conto.ai/,,Text,Content/Copy creation,,,,,,,Europe,,,,,,,
Conversion Maker AI,"$4,072,333",Christian Funk Holding,,https://conversionmaker.ai/,,Text,Text generation,,,,,,,Europe,,,,,,,
Copy Shark,,,,https://www.copyshark.ai/,,Text,Content/Copy creation,,,,,,,North America (excl. US),,,,,,,
Copy.ai,"$13,900,000 ","Atelier Ventures,Browder Capital,Coppice Capital,Craft Ventures,DayDreams Ventures,Elad Gil,Matthew Caspari,Quint Capital,Sequoia Capital,Tiger Global Management,Unpopular Ventures,Wing Venture Capital",47,www.copy.ai,* Say ‘goodbye’ to the blank page for good,Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Copy.ai,"$13,900,000","Sequoia Capital, Tiger Global Management, Wing Venture Capital, Elad Gil, Craft Ventures",,https://www.copy.ai/,,Text,Content creation,,,,,,,Other US,,,,,,,
Copymatic,,,,https://copymatic.ai/,,Text,Marketing content creation,,,,,,,"Los Angeles, CA",,,,,,,
CopyMonkey,"$100,405","JOINT JOURNEY, Herman Kienhuis, River Venture Partners, EMERGE, Angels Band",,https://copymonkey.ai/,,Text,Marketing / E-Commerce Listings,,,,,,,Europe,,,,,,,
Copysmith,"$10,000,000","PSG Equity, Harmony Venture Labs",,https://copysmith.ai/,,Text,Marketing content creation,,,,,,,SF Bay Area,,,,,,,
Copysmith Artificial Intelligence,"$10,000,000 ","Harmony Venture Labs,Providence Strategic Growth",18,www.copysmith.ai,"* Copysmith is the AI content creation solution for teams
- Create, launch and distribute marketing content at scale",Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Coqui,"$3,300,000","ScaleX Ventures, Mango Capital, DNX Ventures",,https://coqui.ai/,,Audio,Text to Speech / Voice Synthesis,,,,,,,Europe,,,,,,,
Correcto,"$625,000","Asymmetry Ventures, Tarek Alaruri",,https://correcto.es/,,Text,Writing / editing (Spanish),,,,,,,"London, UK",,,,,,,
Corti,"$29,378,315","Vaekstfonden, EASME - EU Executive Agency for SMEs, byFounders, Jeremy Yap, Heartcore Capital",,corti.ai,,Audio,Healthcare Speech to text / data organization,,,,,,,Europe,,,,,,,
Coxwave,"$800,000",,,https://www.coxwave.com/,,Image,Image editing and search,,,,,,,APAC,,,,,,,
Cradle,"$5,698,637","Index Ventures, Kindred Capital, John Zimmer, Emily Leproust",,https://cradle.bio/,,Bio,Protein Generation,,,,,,,Europe,,,,,,,
Craftly.ai,$0 ,,27,craftly.ai,"* Changing the way the worlds writes.
- The AI Copywriting Assistant that generates original, high converting content the way you like it.",Generation for Copywriters & SMB Marketers,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Craftly.ai,,,,https://www.craftly.ai/,,Text,Copywriting,,,,,,,North America (excl. US),,,,,,,
Crait AI,,,,http://crait.it/,,Image,AI powered product photography,,,,,,,MENA,,,,,,,
Craiyon,,2080 Ventures,,https://www.craiyon.com/,,Image,Art generation,,,,,,,Other US,,,,,,,
Creatext,"$120,000",Techstars,,https://www.creatext.ai/,,Text,Sales Prospecting / email generation,,,,,,,Europe,,,,,,,
Creative Fabrica,"$68,550,957","FJ Labs, Alven, Triple Point Ventures, LionTree, Felix Capital",,https://www.creativefabrica.com/spark/,,MLOps/Platform,Art and writing generation,,,,,,,Europe,,,,,,,
Cresta,"$151,000,000","Zoom, CarMax, Andreessen Horowitz, Genesys, JP Morgan Chase",,https://cresta.com/,,Chatbot/Conversational AI,Contact Center / Customer support,,,,,,,SF Bay Area,,,,,,,
Crone AI,,,,https://www.crone.ai,,Chatbot/Conversational AI,AI Business Mentor,,,,,,,SF Bay Area,,,,,,,
CSM,"$7,579,994","Intel Capital, Glasswing Ventures, Toyota Ventures, Omidyar Technology Ventures, Blindspot Ventures",,https://csm.ai/,,Image,3D Image Generation,,,,,,,Other US,,,,,,,
Dala,"$1,400,000 ","Andrin Bachmann,Ascension (Financial Services),Ascension Ventures,Ben Stephenson,Evening Fund,James Meekings,Jamie Whitcroft,Johnny Boufarhat,Lyuben Belov,Michael Tefula,Patrick Gilday,Roman Schumacher,Seedcamp,Serge Chiaramonte,The Fund,Valia Ventures,William Neale",8,www.dala.ai,* Your workplace has the answer. Ask Dala to find it.,Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Darrow,"$24,000,000","NFX, Y Combinator, NFX, Entrée Capital, F2 Capital, Matias Ventures",,https://www.darrow.ai/,,Legal,Legal case generation,,,,,,,Israel,,,,,,,
Dashworks,"$4,500,000","Y Combinator, South Park Commons, Unpopular Ventures, Goat Capital, Emmett Shear",,https://www.dashworks.ai/,,Semantic Search,Search engine platform,,,,,,,SF Bay Area,,,,,,,
Data Skrive,"$6,285,000","Puget Sound Venture Club, Bettor Capital",,https://dataskrive.com/,,Text,Marketing content creation,,,,,,,"Seattle, WA",,,,,,,
Datachat,"$30,140,903","National Science Foundation, Anthos Capital, Celesta Capital, Redline Capital, gbeta",,https://datachat.ai/,,Data,"Chat with your data, naturally",,,,,,,Other US,,,,,,,
Datagen,"$68,500,000 ","Anthony Goldbloom,Brian Granger,Dragomir Anguelov,Eitan Pilipski,Fernando De la Torre,Gal Chechik,Lihi Zelnik-Manor,Manuel Bronstein,Michael Black,Operator Partners,Raghu Hiremagalur,Scale Venture Partners,Spider Capital,TLV Partners,Trevor Darrell,Vantage Equities,Vintage Investment Partners,Viola Growth,Viola Ventures,Yossi Matias",122,www.datagen.tech,"* Simulate the [exact / high-variance / large-scale] data your AI needs
- Get high-performance data that is key to production-ready algorithms",Training Data,,AI Development & Tools,Image,Data Management,General,Yes,,,,,,,,,
DataGen Technologies,"$72,000,000","Viola Ventures, Operator Partners, TLV Partners, Spider Capital, Scale Venture Partners",,https://datagen.tech/,,Data,Synthetic data generation,,,,,,,Israel,,,,,,,
DataHawk,"$8,374,667","FrenchFounders, Hi Inov - Dentressangle, Axeleo Capital, Spring Invest, Bleu Capital",,https://datahawk.co/,,Data,Commerce analytics platform,,,,,,,Europe,,,,,,,
DataStax,"$342,571,788","Sequoia Capital, Lightspeed Venture Partners, EDBI, Jason Calacanis, Rackspace",,https://www.datastax.com/,,Data,Data stack for building real-time AI apps,,,,,,,SF Bay Area,,,,,,,
Debuild,$0 ,"Adam D'Angelo,Amjad Masad,Brianne Kimmel,Calvin French-Owen,Charlie Cheever,Expo Capital Management,Garry Tan,James Higa,Jason Warner,Joshua Buckley,Rahul Vohra,Tom Brown,Work Life Ventures",2,www.debuild.app,"* Code your web app in seconds.
- The AI-powered low-code tool that helps you build web apps blazingly fast.",Build Apps from Text Interface,,Applications (Horizontal),Code,Application Building,General,No,,,,,,,,,
Debuild,,"FundersClub, Offline Ventures, Founders, Inc.",,https://debuild.app/,,Code,Web App Builder,,,,,,,SF Bay Area,,,,,,,
DeckRobot,"$5,850,000","Charlie Songhurst, Flyer One Ventures, Alex Turbanov, Pragmatech Ventures, Victor Savyuk",,https://www.deckrobot.com/,,Image,Slide deck design,,,,,,,SF Bay Area,,,,,,,
Deep Design Systems,,,,https://www.deepdesignsystems.com/,,Data,Synthetic Industrial Design,,,,,,,Europe,,,,,,,Vector Database
Deep Dream Generator,,,,https://deepdreamgenerator.com/,,Image,Image generation,,,,,,,SF Bay Area,,,,,,,
Deep Mind Gopher,,,,https://gpt3demo.com/apps/deepmind-gopher,,Text,Text generation,,,,,,,Unknown,,,,,,,
DeepBrain AI,"$52,000,000","KB Investment, Korea Development Bank, IMM Investment, KDB Capital, L&S Venture Capital",,https://www.deepbrain.io/,,Avatars,Virtual Humans and Avatars,,,,,,,SF Bay Area,,,,,,,
DeepDub,"$20,000,000 ","Booster Ventures,Daniel Chadash,Danny Grander,Emiliano Calemzuk,Gideon Marks,Insight Partners,Kevin Reilly,Roi Tiger,Stardom Ventures,Swift Ventures",46,www.deepdub.ai,"* Global Entertainment Experience, Reimagined. 
- Deepdub aims to bridge the language barrier and cultural gap of entertainment experiences through high-quality localization at scale.",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,Media & Entertainment,Yes,,,,,,,,,
Deepdub,"$20,000,000","Insight Partners, Swift Ventures, Danny Grander, Matias Ventures, Stardom Ventures",,https://deepdub.ai/,,Video,Content localization / dubbing,,,,,,,Israel,,,,,,,
DeepFiction AI,,,,https://www.deepfiction.ai/,,Text,"Original unfiltered AI generated stories, images, and characters",,,,,,,Other US,,,,,,,
DeepGenX,$0 ,No Data,,https://www.deepgenx.com/,"* Level up your Coding with CodeGenX
- We are thrilled to announce CodeGenX! A Code Generation system powered bya rtificial intelligence!","Generation for Code, Terminal, and Querying",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Deepgram,"$85,920,000","NVIDIA, Bossanova Investimentos, Y Combinator, Tiger Global Management, BlackRock",,https://deepgram.com/,,Audio,Speech to Text,,,,,,,SF Bay Area,,,,,,,
Deepset,"$16,100,000 ","Acequia Capital,GV,Harpoon,Harpoon Ventures,Lunar Ventures,STARTPLATZ,System One,System.One",29,www.deepset.ai,"* Build Natural Language Interfaces for Your Data
- NLP is at the core of modern enterprise data processing. We provide developers with the right tools to build production-ready NLP systems quickly and efficiently.","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Deepset,"$15,600,000","Google Ventures, Acequia Capital (AceCap), Charlie Songhurst, Lunar Ventures, Mustafa Suleyman",,https://www.deepset.ai/,,MLOps/Platform,NLP,,,,,,,Europe,,,,,,,
DeepWord,"$20,000",Elevate Ventures,,https://www.deepword.co/,,Video,Personalized videos,,,,,,,Other US,,,,,,,
Delv AI,"$550,000",,,https://www.delv.ai/,,Semantic Search,Hyper-local search and extractive summaries,,,,,,,"Miami, FL",,,,,,,
Demandwell,"$5,000,000",High Alpha,,https://www.demandwell.com/,,Text,Content/marketing,,,,,,,Other US,,,,,,,
Depix,"$2,453,916","Anges Quebec, AQC Capital",,https://www.depix.ai/,,Image,"Background removal, Photo enhancement",,,,,,,North America (excl. US),,,,,,,
Descript,"$50,000,000 ","Alex Blumberg,Andreessen Horowitz,ASDF Ventures,Bharat Mediratta,Brian Pokorny,Casey Neistat,Devdatta Akhawe,Evan Williams,HubSpot Ventures,Jack Patreon,Jake Shapiro,Jay Simons,Jean-Denis Greze,John Lilly,Justine Ezarik,Lenny Rachitsky,Naval Ravikant,OpenAI,Raghavendra Prabhu,Rahul Vohra,Redpoint Ventures,Shishir Mehrotra,Spark Capital,Tobias Lutke,Todd Goldberg",109,www.descript.com,"* All-in-one audio & video editing, as easy as a doc.","AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Video,Video Editing,General,Yes,,,,,,,,,
Descript,"$100,000,000","OpenAI, Andreessen Horowitz, Naval Ravikant, Daniel Gross, Redpoint",,https://www.descript.com/,,Audio,Voice generation,,,,,,,SF Bay Area,,,,,,,
Detail,"$7,000,000","TQ Ventures, Hustle Fund, Connect Ventures, Joe Thomas, Point Nine",,https://detail.co/,,Video,"Record, remix, and share videos",,,,,,,Europe,,,,,,,
DhiWise,"$9,700,000 ","Accel,India Quotient",58,www.dhiwise.com,"* A programming platform where developers can convert their designs into developer-friendly code for Mobile and web apps
- Automates the application development lifecycle and instantly generates readable, modular and reusable code.",Figma to Code,,Applications (Horizontal),Image,Code generation & Documentation,General,Yes,,,,,,,,,
DhiWise,"$9,500,000","Accel, India Quotient, Dholakia Ventures, Together Fund",,https://www.dhiwise.com/,,Code,Design to Code conversion,,,,,,,APAC,,,,,,,
Diagram,"$4,100,000","Lachy Groom, Basis Set Ventures, Ludlow Ventures, Weekend Fund, base case capital",,https://diagram.com/,,Image,Product Design,,,,,,,"New York, NY",,,,,,,
Dialpad,"$450,000,000","SoftBank, Andreessen Horowitz, Google Ventures, Section 32, G Squared",,https://www.dialpad.com/,,Audio,Team/Customer Communications,,,,,,,SF Bay Area,,,,,,,
D-ID,"$47,881,868","OurCrowd, Y Combinator, Hyundai Motor Company, Pitango VC, Macquarie Capital",,https://www.d-id.com/,,Avatars,Customized videos featuring talking avatars,,,,,,,Israel,,,,,,,
Digital Recipe Inc.,"$300,000",,,https://www.dxr.co.jp/,,Text,"AI Writing Assistant called ""Catchy""",,,,,,,APAC,,,,,,,
DigitalFirst,"$1,065,000","Flat6Labs, Polish Agency for Enterprise Development, INNOventure, Michał Tokarski, Grzegorz Gracz",,https://www.digitalfirst.ai/,,Text,Marketing / content generation,,,,,,,Europe,,,,,,,
Dob Studio,"$4,256,732","Dexter Studios, Timewise Investment, Nau IB Capital, TINVESTMENT",,https://www.dob.world/,,Video,Virtual humans,,,,,,,APAC,,,,,,,
DrawAnyone,,,,https://drawanyone.com/,,Image,Image Generation,,,,,,,Unknown,,,,,,,
DreamFusion,,,,https://dreamfusion3d.github.io/,,Image,3D image generation,,,,,,,Unknown,,,,,,,
DubDub,"$1,300,000 ","Accel Atoms,Aprameya Radhakrishna,Deepak Anchala,Force Ventures (India),Forward Slash Capital,Gaurav Kapur,Jaipur Capital,Nishant Mungali,Roshan Abbas,Swati Mohan,Waveform Ventures",,www.dubdub.ai,"* Redefining dubbing: As good as original
- Authentic and Efficient Dubbing solutions in 40+ languages",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Dubverse,"$800,000",Kalaari Capital,,https://dubverse.ai/,,Audio,Video dubbing,,,,,,,APAC,,,,,,,
DupDub,"$252,763,410","Google, Sequoia Capital China, Volkswagen Group, ZhenFund, SIG China (SIG Asia Investments)",,https://www.dupdub.com/,,Audio,Voiceovers,,,,,,,APAC,,,,,,,
Durable,$0 ,"Infinity Ventures(Palo Alto),South Park Commons,Torch Capital",9,www.durable.co,"* Launch your business in 30 seconds with AI.
- Instantly build a website and find your first customer in minutes.
- It's the fastest way to launch a business ever.",Website Builder,,Applications (Vertical),Code,Application Building,Marketing,Yes,,,,,,,,,
Durable,"$12,500,000","Soma Capital, Lorimer Ventures, South Park Commons, Altman Capital, Torch Capital",,https://durable.co/,,Code,Web App Builder,,,,,,,SF Bay Area,,,,,,,
Dust.tt,$0 ,No Data,,www.dust.tt,* Empower  tinkerers  to leverage  generative models  for the use-cases they care about.,"MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Dynamo,"$4,150,000",,,https://www.dynamo.fyi/,,Text,Social media content OS,,,,,,,Israel,,,,,,,
Ecomtent,,Mark Evans,,https://www.ecomtent.ai/,,Image,Product Images for E-commerce,,,,,,,North America (excl. US),,,,,,,
Ecrett,"$2,000,000","Ceres (Japan), Deepcore, iSG Investment Works, Mint (Tokyo), SMBC Venture Capital",,https://ecrettmusic.com/,,Audio,Music generation,,,,,,,APAC,,,,,,,
Edgi Learning,"$685,000",,,https://www.edgilearning.com/,,Chatbot/Conversational AI,Homework assistant / chatbot,,,,,,,"New York, NY",,,,,,,
Elai,"$60,000","Startup Wise Guys, Google for Startups, SID Venture Partners, Startup Lisboa - Rocket Program",,https://elai.io/,,Video,Text to Video,,,,,,,Other US,,,,,,,
Elai.io,"$100,000 ","SID Venture Partners,Startup Wise Guys",12,www.elai.io,"* AI Dubbing with Elai.io
- Translate your existing videos into multiple languages",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Electric noir studios,,,,https://www.electricnoirstudios.com/,,Game,Interactive drama mobile games,,,,,,,"London, UK",,,,,,,
Eleven Labs,$0 ,No Data,,www.elevenlabs.io,"* New Frontier in Automatic Dubbing
- Eleven Labs is creating tools to automatically dub your videos and podcasts into other languages, while preserving the distinctive features of the speaker’s voice at a fraction of the cost and time of traditional solutions.",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Eleven Labs,"$20,500,000","Daniel Gross, Nat Friedman, Concept Ventures, Credo Ventures",,https://www.elevenlabs.io/,,Audio,Long format speech generation,,,,,,,"New York, NY",,,,,,,
Elicit,,,,https://elicit.org/,,Summarization,Data search / summarization,,,,,,,SF Bay Area,,,,,,,
EliseAI,"$31,928,985","Navitas Capital, AvalonBay, Golden Seeds, Ground Up Ventures, DivcoWest",,https://www.eliseai.com/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,,"New York, NY",,,,,,,
Elomia,"$265,000",,,https://elomia.com/,,Chatbot/Conversational AI,Mental Health / Chatbot,,,,,,,Europe,,,,,,,
Eluether GPT-NEO,"$100,000,000",,,https://www.eleuther.ai/,,Text,Text Generation,,,,,,,Unknown,,,,,,,
EmbodyMe,"$4,300,000 ","Deep30,Deepcore,Incubate Fund,New Energy and Industrial Technology Development Organization,Shigeru Urushihara,SMBC Venture Capital,Techstars",11,embodyme.com,"* Making the unimaginable, imaginable with AI",Synthetic Talking Heads,,Applications (Horizontal),Video,Avatars,General,Yes,,,,,,,,,
EmbodyMe,"$4,056,294","Techstars, SMBC Venture Capital, Incubate Fund, Deepcore, Japan Finance",,https://embodyme.com/,,Video,Face swaps,,,,,,,APAC,,,,,,,
Endel,"$21,221,791","Techstars, True Ventures, Kima Ventures, Techstars Ventures, Waverley Capital",,https://endel.io/,,Audio,Personalized soundscapes,,,,,,,Europe,,,,,,,
Enterpret,"$4,300,000 ","Badrul Farooqi,Cristina Cordova,Curtis Liu,iSeed (India),Kleiner Perkins,Melisa Tokmak,Paige Costello,Sequoia Capital India,Unusual Ventures,Vinay Hiremath",25,www.enterpret.com,"* Customer Feedback Intelligence for Product Teams
- All customer feedback categorized automatically combined with advanced analytics capabilities. Ensure no customer pain goes unnoticed.",Voice of the Customer Analysis,,Applications (Horizontal),Code,Customer support / Knowledge Management,General,Yes,,,,,,,,,
Enzyme,"$120,000",Techstars,,https://enzyme.so/,,Code,Web App Builders,,,,,,,"New York, NY",,,,,,,
EvenUp,"$12,900,000","NFX, Bessemer Venture Partners, DCM Ventures, Dash Fund, NFX",,https://www.evenuplaw.com/,,Legal,Legal case generation,,,,,,,SF Bay Area,,,,,,,
excelformulabot,,,,https://excelformulabot.com/,,Code,Excel Querying,,,,,,,"Miami, FL",,,,,,,
Explosion,"$6,000,000 ",SignalFire,35,www.explosion.ai,"* Explosion builds developer tools for:
- Artificial Intelligence
- Machine Learning
- Natural Language Processing
- Data Annotation","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Fabius,"$500,000",Y Combinator,,https://www.fabius.io/,,Audio,Data Analysis,,,,,,,SF Bay Area,,,,,,,
Facet,"$19,300,000 ","Accel,Basis Set Ventures,DO Venture Partners,Edward Lando,Eric Wittman,Formulate Ventures,Gaingels,Mana Ventures,Octave (San Francisco),Peter Skomoroch,Richard Socher,Silicon Ventures (California),Slow Ventures,SNR,South Park Commons,Spacecadet Ventures,Techammer,Two Sigma Ventures",14,www.facet.ai,"* The image editing workflow, reimagined
- Discover pro grade tools powered by AI. Multiply visual directions, automate masking and selection, and collaborate with your team—all on the web. Welcome to the future of photorealism.","AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Image,Image Editing,General,Yes,,,,,,,,,
Facet,"$15,500,000","Edward Lando, Gaingels, Bossanova Investimentos, Accel, South Park Commons",,http://facet.ai,,Image,AI-powered image editor,,,,,,,SF Bay Area,,,,,,,
Featureform,"$2,000,000","Zetta Venture Partners, Berkeley SkyDeck Fund",,https://www.featureform.com/,,MLOps/Platform,Model development,,,,,,,SF Bay Area,,,,,,,
Felvin,"$350,000","Larry Braitman, Sarthak Goel",,https://felvin.com/,,Code,No code builder for generative AI applications,,,,,,,"New York, NY",,,,,,,
Fermat,$0 ,,,https://fermat.app/,"* Your work, augmented
- Boost your creative side with intelligent tools on a spatial canvas.",Tools for Artists,,Applications (Vertical),Image,Image Generation,Product Design,Yes,,,,,,,,,
Fermat,,MK Venture Capital,,https://fermat.ws/,,Image,Image / Text / Content generation,,,,,,,Europe,,,,,,,
Fiddler AI,"$45,200,000","Bossanova Investimentos, Insight Partners, Lightspeed Venture Partners, Lockheed Martin Ventures, Haystack",,https://www.fiddler.ai/,,MLOps/Platform,"AI Observability, Explainability for MLOps and Generative AI",,,,,,,SF Bay Area,,,,,,,
Flawless,$0 ,JAMCO Capital,27,www.flawlessai.com,"* Neural network enabled filmmaking
- Using artificial intelligence, our world-first system will revolutionise the VFX and motion picture industry by unlocking content through authentic, visual translation to enable stories to be told exactly as they were intended with an immersive experience in the native language of any audience around the world",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,Media & Entertainment,Yes,,,,,,,,,
Flawless,,,,https://www.flawlessai.com/,,Video,Lip Synced Visualizations,,,,,,,"London, UK",,,,,,,
Flewently,,,,https://www.flewently.com,,Chatbot/Conversational AI,Language learning,,,,,,,"London, UK",,,,,,,
Fliki,,,,https://fliki.ai/,,Video,Text to Video,,,,,,,Other US,,,,,,,
Flowful,,,,https://www.flowful.app/,,Audio,Ambient Music generation,,,,,,,"London, UK",,,,,,,
Flowrite,"$5,100,000 ","David Helgason,Ilkka Paananen,Johannes Schildt,Lifeline Ventures,Moaffak Ahmed,Moonfire,Project A,Seedcamp,Sven Ahrens,Ville Vesterinen",18,www.flowrite.com,* Supercharge your daily communication. Flowrite turns short instructions into ready-to-send emails and messages across your browser.,General Purpose Communication Writing,,Applications (Horizontal),Text,General Writing & Editing,General,Yes,,,,,,,,,
Flowrite,"$5,060,000","Lifeline Ventures, Moonfire Ventures, Ilkka Paananen, David Helgason, Seedcamp",,https://www.flowrite.com/,,Text,Email generation,,,,,,,Europe,,,,,,,
Fluento,,,,https://www.fluento.ai/,,Text,Learning Languages,,,,,,,"London, UK",,,,,,,
ForceField IO,"$400,000","Lightspeed Venture Partners, Debra Messing, Christian Lyles, Evan Tripodi, Sophonia Hardaway",,https://www.theforcefield.io/,,Data,"End-to-end platform leverage blockchain and audit digital evidence for the highest levels of timeliness, provability, and court admissibility",,,,,,,Other US,,,,,,,
Forefront,$0 ,No Data,,www.forefront.ai,"* Powerful NLP tools a click away
- Join leading teams building the next wave of world-changing applications.
- Use pre-built solutions or large language models to quickly build NLP-enabled products and workflows.","MLOps, Infra, & DevTools",,AI Development & Tools,,"MLOps (Hosting, Deployment, Integration)",General,Yes,,,,,,,,,
Forethought,"$92,000,000","8VC, Village Global, Collaborative Fund, New Enterprise Associates, South Park Commons",,https://forethought.ai/,,Chatbot/Conversational AI,Customer Support,,,,,,,SF Bay Area,,,,,,,
Foster,$0 ,Y Combinator,10,www.foster.to,"* Make Your Writing Shine 💫
- Tap a button inside Google Docs and watch your writing transform.",General Purpose Communication Writing,,Applications (Horizontal),Text,General Writing & Editing,General,Yes,,,,,,,,,
Frase,"$947,000","Underscore VC, Bantam Group, Pedro Tortosa",,https://www.frase.io/,,Text,Content creation (SEO),,,,,,,Other US,,,,,,,
Fridayy,$0 ,,,www.fridayy.me,"* The fastest way to buy anything online.
- Shop with a text message.",Other Consumer,,Applications (Vertical),Text,Search,E-Commerce,Yes,,,,,,,,,
Fy!,"$10,977,391","500 Global, Seedrs, Hoxton Ventures, Forward Partners, Redbus Ventures",,https://www.iamfy.co/,,Image,Transforming everyones' homes with generative AI,,,,,,,"London, UK",,,,,,,
Galactica/Amazon,,,,https://galactica.org/,,Text,Formula to Text,,,,,,,Unknown,,,,,,,
Galileo,"$23,100,000","Battery Ventures, FPV Ventures, Walden Catalyst, Lip-Bu Tan, Anthony Goldbloom",,https://www.rungalileo.io/,,MLOps/Platform,Model development,,,,,,,SF Bay Area,,,,,,,
GAN,"$5,250,000","Emergent Ventures, Surge",,https://gan.ai/,,Video,Personalized videos,,,,,,,Other US,,,,,,,
Gantry,"$28,300,000",Dwight Crow,,https://gantry.io/,,MLOps/Platform,Model development,,,,,,,SF Bay Area,,,,,,,
Gemsouls,"$4,000,000 ",Qiming Venture Partners,,www.mygemsouls.com,"* 👋Meet, befriend, and create virtual characters
- On a mission to bring gem-like virtual humans to life ",Chatbots & Avatars,,Applications (Horizontal),Video,Avatars,General,Yes,,,,,,,,,
GenieLabs,,,,https://www.genielabs.tech/,,Video,3D Models/Scenes,,,,,,,Israel,,,,,,,
Geniverse,$0 ,,,geniverse.co,"* Type your dream
- Let generative AI augment your creativity. Create impressive artworks straight from your imagination.",Tools for Artists,,Applications (Horizontal),Image,Image Generation,General,Yes,,,,,,,,,
Geniverse,,,,https://geniverse.co/,,Image,Image generation,,,,,,,Europe,,,,,,,
GetAnswer,"$100,000",,,https://getanswer.ai/,,Chatbot/Conversational AI,ChatGPT for the intranet,,,,,,,SF Bay Area,,,,,,,
GGPredict,"$2,060,000","Google for Startups, ff Venture Capital, TDJ Pitango Ventures",,https://ggpredict.io/,,Game,Gaming training,,,,,,,Europe,,,,,,,
Ginger,"$11,700,000","Horizons Ventures, Harbor Pacific Capital, Jerusalem Global Ventures",,https://www.gingersoftware.com/,,Text,Writing/Editing,,,,,,,Other US,,,,,,,
GitHub Copilot,"$350,000,000","Thrive Capital, Andreessen Horowitz, Sequoia Capital, EquityZen, SVA",,https://github.com/features/copilot,,Code,Code Generation,,,,,,,SF Bay Area,,,,,,,
